"Outcome_M4","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_3","Cat_4","Quan_17","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_466","Cat_467","Cat_469","Cat_470","Cat_484","Cat_495","Cat_498","Quan_27","Day_Of_Year_1"
2000,0,2,131448,0,0,0,0,0,"6","10",0,0,"2","0","0","0","0","0","0","0","0","0","0",0,88.625
2000,5000,52,49935,0,0,0,0,0,"9","287",0,12,"0","0","0","0","0","0","0","0","0","0","0",0,134.125
500,0,0,194305,3,1,1,2,1,"6","17",2,0,"0","0","2","0","0","0","0","0","0","0","0",0,87.375
2000,5800,69,57822,0,0,0,0,0,"251","708",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,87.375
48000,8600,107,4365238,155,57,31,68,39,"8","11",4,0,"0","0","0","0","0","1","0","0","0","0","1",0,129.375
6000,8900,129,1201564,0,0,0,0,0,"85","308",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,139.125
2000,5900,59,95291,0,0,0,0,0,"48","66",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,231.125
500,6500,38,2048,3,3,2,0,0,"468","1214",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,255.375
500,4400,51,367328,0,0,0,0,0,"198","714",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,95.625
6000,8900,102,1529105,121,43,37,61,27,"114","206",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,136.375
500,6000,19,97941,0,0,0,0,0,"27","453",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,138.875
5000,8400,38,359080,48,9,19,32,8,"30","51",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,10.375
5000,7400,40,788296,0,0,0,0,0,"32","49",4,0,"2","2","2","0","0","0","2","0","0","0","0",0,91.125
10000,8800,149,483316,0,0,0,0,0,"207","337",2,0,"0","0","0","0","0","1","2","0","2","0","0",0,110.875
5000,7600,55,0,33,7,13,11,3,"578","1072",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,7600,62,720532,0,0,0,0,0,"10","19",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,131.375
500,6100,92,20071,5,3,0,3,1,"389","661",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,298.625
500,6000,56,193041,0,0,0,0,0,"257","411",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,166.875
500,4400,11,89480,0,0,0,0,0,"166","262",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,133.125
500,5400,67,43805,0,0,0,0,0,"209","342",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,189.125
500,5200,45,462746,0,0,0,0,0,"176","370",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,357.125
3000,8200,80,280808,0,0,0,0,0,"106","267",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,88.625
3000,8200,112,447992,0,0,0,0,0,"40","56",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,263.625
2000,6600,72,245264,0,0,0,0,0,"105","454",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,140.875
3000,6900,91,94125,0,0,0,0,0,"218","356",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,266.125
2000,7500,69,557725,0,0,0,0,0,"41","57",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,138.875
10000,8000,87,1168518,0,0,0,0,0,"114","206",0,0,"0","0","0","0","0","1","2","0","2","0","1",0,133.125
6000,7900,118,457014,62,22,21,27,14,"207","337",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,115.375
500,7200,95,664806,0,0,0,0,0,"232","378",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,336.125
5000,8600,77,1348716,0,0,0,0,0,"165","566",0,0,"0","0","0","0","0","1","0","0","0","0","1",1,123.625
500,5500,88,2477,0,0,0,0,0,"122","195",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,239.375
2000,7600,76,101055,0,0,0,0,0,"171","270",0,2,"0","0","0","0","0","0","0","0","0","0","0",0,358.375
11000,8300,111,931417,107,20,48,41,7,"89","139",2,0,"0","0","0","0","0","1","2","0","0","0","1",0,144.375
2000,7700,104,466603,0,0,0,0,0,"98","193",0,16,"0","0","0","0","0","0","0","0","0","0","0",0,222.875
13000,9000,133,823479,0,0,0,0,0,"117","188",4,16,"0","0","0","0","0","1","2","0","0","0","0",0,249.625
2000,6600,46,670326,0,0,0,0,0,"107","264",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,168.125
10000,8500,115,467424,0,0,0,0,0,"29","38",2,0,"2","2","0","0","0","0","0","0","0","0","0",0,232.625
19000,9200,137,1329383,0,0,0,0,0,"1","385",0,0,"0","0","0","0","0","1","2","1","0","0","0",10,117.875
5000,9500,149,1005204,0,0,0,0,0,"133","214",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,49.125
2000,9100,61,518273,36,12,8,13,9,"73","279",7,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,6200,47,844248,0,0,0,0,0,"114","420",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,126.875
2000,8700,151,834327,0,0,0,0,0,"282","214",0,0,"0","0","0","0","0","1","0","0","0","0","1",0,221.625
2000,5300,28,30366,0,0,0,0,0,"115","184",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,85.375
500,7300,47,5650,0,0,0,0,0,"171","270",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,357.125
500,5900,18,283838,10,0,5,2,0,"578","1081",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,87.375
500,6100,56,193707,0,0,0,0,0,"139","135",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,96.875
2000,5600,43,0,13,6,3,2,2,"408","715",2,0,"0","0","0","0","0","1","2","0","0","0","0",0,122.375
500,5900,44,181085,0,0,0,0,0,"408","715",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,130.625
2000,8200,71,739705,0,0,0,0,0,"180","285",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,322.125
2000,7400,91,65599,0,0,0,0,0,"3","3",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,142.625
500,7300,33,304225,0,0,0,0,0,"4","204",7,0,"0","2","2","0","0","0","0","0","0","0","0",0,13.125
500,6800,76,0,0,0,0,0,0,"222","362",0,16,"0","0","0","0","0","0","0","0","0","0","0",0,329.125
500,7000,120,316575,0,0,0,0,0,"400","80",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,3.375
2000,8500,86,10057,25,12,6,17,9,"32","38",2,0,"0","2","0","0","0","0","0","0","0","0","0",0,241.375
500,5600,16,32760,0,0,0,0,0,"231","377",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,350.125
6000,8700,92,1516735,54,20,22,29,10,"28","40",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,136.375
3000,4200,6,128209,0,0,0,0,0,"6","382",0,0,"2","0","0","0","0","0","0","0","0","0","0",0,82.875
2000,8200,82,62984,0,0,0,0,0,"57","89",4,0,"0","0","0","0","0","0","2","0","0","0","0",0,61.875
2000,9300,80,0,19,11,4,6,4,"165","259",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,199.375
2000,0,1,86725,5,3,0,3,2,"6","1229",2,0,"2","0","0","0","0","0","0","0","0","0","0",0,73.375
2000,7900,81,1106,0,0,0,0,0,"108","175",4,16,"2","0","0","0","0","0","0","0","0","0","0",0,341.625
500,6200,99,303842,0,0,0,0,0,"345","583",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,333.625
500,5600,21,384334,0,0,0,0,0,"176","277",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,358.375
6000,8100,145,1003761,0,0,0,0,0,"57","86",4,16,"0","0","0","0","0","1","2","0","0","0","0",0,142.625
5000,7400,49,589158,0,0,0,0,0,"38","408",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,82.875
2000,8000,98,27136,0,0,0,0,0,"16","429",4,0,"0","0","0","0","0","1","0","0","0","0","0",0,54.875
2000,8500,39,2006285,0,0,0,0,0,"118","188",4,0,"0","0","0","0","0","1","0","0","0","0","0",0,49.125
500,5200,3,72774,2,1,0,2,1,"392","675",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,94.375
8000,7900,91,669770,31,23,8,21,18,"362","30",0,0,"0","0","0","0","0","1","2","0","0","0","1",0,87.375
2000,5900,66,1361,20,2,9,2,1,"16","302",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,108.375
500,7400,39,428610,7,0,1,4,0,"430","764",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,94.375
2000,7600,119,478691,0,0,0,0,0,"378","641",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,207.625
5000,8200,108,975913,0,0,0,0,0,"109","176",0,12,"0","0","0","0","0","1","2","0","0","0","0",0,103.875
500,8100,59,438753,0,0,0,0,0,"56","331",2,16,"0","0","0","0","0","1","0","0","0","0","0",0,4.875
2000,7800,106,442044,0,0,0,0,0,"135","320",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,224.125
500,6500,13,0,0,0,0,0,0,"30","391",0,0,"2","2","2","0","0","0","0","0","2","0","0",0,40.875
2000,7000,92,517764,0,0,0,0,0,"193","303",4,16,"0","0","0","0","0","0","0","0","0","0","0",0,119.125
29000,8200,79,5417231,134,11,79,28,5,"73","1116",2,0,"0","0","0","0","0","0","0","0","0","2","0",0,124.375
2000,6900,8,439801,0,0,0,0,0,"46","352",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,217.125
500,8100,135,380699,0,0,0,0,0,"206","550",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,102.625
2000,8000,70,30069,0,0,0,0,0,"279","567",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,67.625
3000,6300,37,1007988,0,0,0,0,0,"77","150",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,133.375
10000,8500,77,503093,0,0,0,0,0,"168","398",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,75.875
500,7600,27,370537,0,0,0,0,0,"227","371",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,336.125
31000,8500,125,2408730,0,0,0,0,0,"8","11",4,18,"0","0","0","0","0","1","2","0","0","0","1",0,131.875
2000,6400,76,0,10,5,5,5,5,"20","1058",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,122.375
2000,6700,67,335300,0,0,0,0,0,"8","402",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,124.875
500,7900,58,0,0,0,0,0,0,"32","198",4,8,"2","0","2","0","0","0","0","0","0","0","0",0,321.125
2000,6500,51,16442,0,0,0,0,0,"97","151",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,260.375
2000,6800,95,0,0,0,0,0,0,"33","42",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,278.875
3000,7200,35,924460,0,0,0,0,0,"31","40",2,0,"0","0","0","0","0","0","2","0","0","0","0",0,133.125
2000,5100,50,25777,0,0,0,0,0,"123","197",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,361.625
500,4500,60,561128,0,0,0,0,0,"220","359",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,304.125
500,5800,72,118199,50,8,17,34,4,"208","965",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,157.375
2000,7000,67,70234,0,0,0,0,0,"51","497",6,0,"0","0","0","0","0","0","0","0","0","0","0",0,264.875
2000,5600,99,635484,0,0,0,0,0,"156","245",4,4,"0","0","0","0","0","0","0","0","0","0","0",0,322.125
500,4700,11,98168,0,0,0,0,0,"140","222",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,115.375
2000,7900,65,48840,0,0,0,0,0,"150","236",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,91.125
10000,9200,132,725087,0,0,0,0,0,"55","81",2,0,"0","0","0","0","0","1","2","0","0","0","1",0,116.625
3000,4900,51,0,40,6,15,13,1,"580","1075",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,129.375
29000,8300,76,1238684,0,0,0,0,0,"30","39",4,0,"2","2","2","2","2","1","0","0","0","0","0",0,40.875
3000,7600,45,820707,0,0,0,0,0,"31","40",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,136.375
500,5900,58,7701,0,0,0,0,0,"414","729",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,95.625
2000,6700,33,779723,0,0,0,0,0,"5","5",2,0,"2","2","2","2","0","0","0","0","0","0","0",0,245.125
500,7500,125,518565,0,0,0,0,0,"11","20",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,302.875
500,6400,70,11971,0,0,0,0,0,"32","350",4,0,"0","0","2","0","0","0","0","0","0","0","0",0,230.125
2000,8500,111,326799,55,23,11,43,21,"23","733",2,0,"0","2","0","0","0","1","0","0","0","0","1",0,227.375
500,6900,59,598947,0,0,0,0,0,"155","244",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,357.375
500,7200,64,151404,0,0,0,0,0,"20","346",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,231.125
2000,7500,82,367178,26,9,10,15,5,"607","1127",4,0,"0","0","0","0","0","1","0","0","0","0","0",0,269.375
2000,8000,92,664717,0,0,0,0,0,"51","179",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,108.625
500,6400,60,67691,0,0,0,0,0,"393","676",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,235.625
2000,7700,49,910668,0,0,0,0,0,"51","179",6,0,"0","0","0","0","0","1","2","0","0","0","0",0,129.875
3000,3700,7,128209,0,0,0,0,0,"194","382",0,0,"2","0","0","0","0","0","0","0","0","0","0",0,82.875
500,7100,34,0,0,0,0,0,0,"180","285",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,152.875
3000,8200,66,18034,0,0,0,0,0,"32","48",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,98.125
2000,4600,60,631652,0,0,0,0,0,"100","156",2,0,"0","0","0","0","0","0","2","0","0","0","0",0,134.375
3000,7900,36,483256,0,0,0,0,0,"30","51",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,11.625
500,7500,60,242444,6,0,2,1,0,"38","664",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,123.625
2000,6700,104,335300,0,0,0,0,0,"8","402",0,0,"0","0","0","0","0","1","2","0","0","0","1",0,124.875
500,5800,59,7701,0,0,0,0,0,"414","729",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,95.625
3000,7800,68,910668,0,0,0,0,0,"51","179",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,129.875
2000,8000,89,860321,0,0,0,0,0,"16","108",2,0,"0","0","0","0","0","1","2","0","0","0","0",0,116.625
2000,8700,85,28164,0,0,0,0,0,"276","450",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,124.875
2000,7800,138,373658,0,0,0,0,0,"2","2",0,8,"0","0","0","0","0","1","0","0","0","0","0",0,8.375
2000,7400,72,622980,0,0,0,0,0,"128","205",2,0,"0","0","0","0","0","0","2","0","0","0","0",0,245.125
500,5900,8,934,0,0,0,0,0,"467","864",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,109.625
10000,4700,11,224077,88,8,63,7,1,"357","1166",4,0,"2","0","0","0","0","0","0","0","0","0","0",0,138.375
2000,7900,118,1073298,0,0,0,0,0,"116","185",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,141.625
6000,8600,115,1348716,0,0,0,0,0,"165","566",0,0,"0","0","0","0","0","1","0","0","0","0","1",1,123.625
500,5300,39,73152,0,0,0,0,0,"48","67",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,239.375
3000,9500,166,1784743,0,0,0,0,0,"165","259",0,0,"0","0","0","0","0","1","0","0","0","0","1",0,207.625
500,6100,12,166048,0,0,0,0,0,"255","409",8,0,"0","0","0","0","0","0","0","0","0","0","0",0,110.875
2000,6500,3,194305,5,1,2,2,1,"6","17",2,0,"0","0","2","0","0","0","0","0","0","0","0",0,87.375
500,6600,100,388256,0,0,0,0,0,"16","437",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,208.875
2000,4400,84,108948,0,0,0,0,0,"251","672",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,32.625
500,6600,47,0,0,0,0,0,0,"131","492",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,264.875
8000,8800,104,1247336,0,0,0,0,0,"35","367",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,242.625
500,7000,87,37215,0,0,0,0,0,"278","460",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,320.875
2000,7900,62,940341,34,10,8,20,8,"38","763",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,361.625
2000,8100,67,40535,0,0,0,0,0,"34","47",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,309.375
2000,6100,79,631407,0,0,0,0,0,"100","156",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,144.875
5000,9000,185,744808,0,0,0,0,0,"274","444",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,239.875
10000,8100,55,1503860,0,0,0,0,0,"30","39",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,42.125
2000,5400,36,37394,0,0,0,0,0,"48","312",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,77.125
10000,8800,126,649910,0,0,0,0,0,"153","410",2,8,"0","0","0","0","0","0","0","0","0","0","0",0,137.625
500,5900,30,220062,0,0,0,0,0,"30","266",0,0,"2","2","0","0","0","0","0","0","0","0","0",0,20.125
500,4800,11,75453,0,0,0,0,0,"362","618",0,0,"2","2","0","0","0","0","0","0","0","0","0",0,207.875
2000,6700,117,0,0,0,0,0,0,"33","42",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,278.875
2000,7500,58,360652,8,2,2,4,2,"107","264",2,0,"0","0","0","0","0","0","0","0","0","0","0",1,151.625
15000,9400,142,2363963,0,0,0,0,0,"75","646",0,0,"0","2","0","0","0","1","2","1","0","0","0",0,319.625
2000,6500,54,94125,0,0,0,0,0,"218","356",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,266.125
500,7400,46,228284,0,0,0,0,0,"226","8",2,0,"2","2","0","0","0","0","0","0","0","0","0",0,357.125
500,4900,59,12871,0,0,0,0,0,"279","456",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,222.875
2000,5400,91,214370,0,0,0,0,0,"161","254",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,58.125
2000,3500,5,22501,0,0,0,0,0,"6","386",0,0,"2","0","2","0","0","0","0","0","0","0","0",0,61.875
2000,8200,89,397585,0,0,0,0,0,"39","55",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,331.625
2000,7900,97,352519,0,0,0,0,0,"57","541",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,131.875
500,5900,44,373752,42,1,23,22,0,"16","1350",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,220.375
2000,8600,84,114820,0,0,0,0,0,"142","374",0,12,"0","0","0","0","0","0","2","0","0","0","0",0,338.125
500,6100,92,305595,26,9,12,22,8,"39","252",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,45.375
3000,6100,5,227165,13,1,8,2,0,"9","382",4,0,"2","0","0","0","0","0","0","0","0","0","0",0,115.375
19000,8300,77,1503860,0,0,0,0,0,"30","39",4,0,"2","2","2","2","2","0","0","0","0","0","0",0,42.125
2000,6400,100,0,0,0,0,0,0,"299","496",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,264.875
74000,9000,136,2180621,0,0,0,0,0,"154","243",4,16,"0","0","0","0","0","1","0","0","0","0","1",0,73.375
2000,7900,106,538747,0,0,0,0,0,"35","448",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,133.875
2000,9100,80,262738,15,3,4,7,2,"23","32",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,298.625
2000,8200,87,1815872,0,0,0,0,0,"78","128",4,0,"0","0","0","0","0","0","2","0","0","0","0",0,117.875
500,6800,50,598947,0,0,0,0,0,"155","244",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,357.375
2000,7700,57,1153618,38,0,17,14,0,"10","860",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,123.625
500,7100,7,0,1,1,0,1,1,"270","854",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,298.625
500,6900,52,25475,0,0,0,0,0,"88","158",4,0,"2","0","0","0","0","0","0","0","0","0","0",0,341.875
500,5700,50,77366,0,0,0,0,0,"143","226",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,56.125
3000,8100,72,394304,0,0,0,0,0,"30","44",4,0,"2","2","2","2","0","0","0","0","0","0","0",0,340.875
500,7600,57,135646,0,0,0,0,0,"179","282",2,0,"0","2","0","0","0","0","0","0","0","0","0",0,98.125
6000,3500,6,47904,42,2,37,5,0,"391","1193",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,138.375
500,6000,7,0,1,0,0,1,0,"46","677",16,0,"0","0","0","0","0","0","0","0","0","0","0",0,144.625
2000,8100,53,603869,0,0,0,0,0,"98","153",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,259.125
5000,6800,13,685970,48,2,30,5,0,"46","1134",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.375
5000,8800,141,873287,0,0,0,0,0,"20","87",2,8,"0","0","0","0","0","0","2","0","0","0","0",0,142.625
500,7500,66,312,0,0,0,0,0,"96","891",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,143.375
500,5500,16,64356,2,0,0,2,0,"304","281",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,137.625
2000,7500,59,0,23,7,7,6,2,"264","422",2,0,"0","0","0","0","0","1","2","0","0","0","0",0,108.375
2000,4000,18,114640,0,0,0,0,0,"162","256",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,98.125
2000,6000,18,299523,0,0,0,0,0,"114","196",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,78.375
2000,7900,81,123327,0,0,0,0,0,"34","43",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,2.375
500,7800,70,381,0,0,0,0,0,"267","428",0,0,"0","0","0","2","0","0","0","0","0","0","0",0,54.875
500,5900,94,317271,6,2,2,4,2,"335","564",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,200.625
23000,9300,156,922361,0,0,0,0,0,"1","1",0,0,"0","0","0","0","0","1","0","1","0","0","1",4,260.625
500,5100,30,308925,0,0,0,0,0,"132","212",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,133.125
500,5300,4,0,0,0,0,0,0,"9","890",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,123.625
500,5000,8,180029,0,0,0,0,0,"9","481",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.875
500,5400,83,540020,0,0,0,0,0,"14","20",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,317.625
500,7500,49,0,1,1,0,0,0,"449","833",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,228.625
2000,6400,34,19555,0,0,0,0,0,"97","151",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,75.875
500,7000,50,87643,0,0,0,0,0,"136","218",0,16,"0","0","0","0","0","0","0","0","0","0","0",0,337.375
2000,4800,67,315645,46,1,36,7,1,"100","1122",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,124.375
3000,7500,61,257699,37,13,4,27,10,"38","79",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,262.375
2000,0,2,0,0,0,0,0,0,"194","760",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,67.625
10000,8300,49,411958,0,0,0,0,0,"4","6",4,0,"2","2","2","0","0","0","2","0","0","0","0",0,96.875
500,5200,68,0,0,0,0,0,0,"329","549",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,238.875
500,7600,39,0,2,1,1,1,1,"454","841",2,0,"0","0","0","0","0","1","0","0","0","0","1",0,361.625
500,7000,30,22522,0,0,0,0,0,"277","451",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,109.625
2000,8600,56,114820,0,0,0,0,0,"142","374",0,0,"0","0","0","0","0","0","2","0","0","0","0",0,338.125
2000,7000,61,513190,0,0,0,0,0,"10","123",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,362.125
5000,8100,49,18034,0,0,0,0,0,"32","48",4,0,"2","2","2","0","0","0","2","0","0","0","0",0,98.125
2000,8300,69,14306,8,4,3,2,2,"142","1010",0,0,"2","0","0","0","0","0","0","0","0","0","0",0,81.375
500,5700,29,8895,0,0,0,0,0,"228","372",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,356.125
2000,7700,119,241135,0,0,0,0,0,"136","218",0,12,"0","0","0","0","0","0","0","0","0","0","0",0,362.875
8000,8700,128,1749217,0,0,0,0,0,"79","129",0,0,"0","0","0","0","0","1","2","0","0","0","0",0,124.875
5000,9200,80,922361,0,0,0,0,0,"1","1",0,0,"0","0","0","0","0","1","2","1","0","0","1",3,260.375
500,6200,47,4315,0,0,0,0,0,"379","642",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,74.625
500,6000,5,152120,0,0,0,0,0,"406","174",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,102.625
500,6300,83,334974,0,0,0,0,0,"278","455",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,264.875
500,7500,27,6274,0,0,0,0,0,"34","47",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,263.875
2000,8100,111,670440,0,0,0,0,0,"411","725",4,0,"0","0","0","0","0","0","2","0","0","0","0",0,326.625
2000,7700,48,6274,0,0,0,0,0,"34","47",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,131.875
500,6200,59,746269,0,0,0,0,0,"8","18",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,305.375
2000,7100,94,123467,0,0,0,0,0,"97","152",6,0,"0","0","0","0","0","0","0","0","0","0","0",0,8.375
3000,7600,89,90686,33,10,17,19,7,"131","18",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,66.375
2000,7600,71,4538,0,0,0,0,0,"385","655",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,66.375
8000,8200,77,242674,31,4,13,9,2,"32","48",2,0,"2","2","2","0","0","0","0","0","0","0","0",0,298.625
2000,8300,101,673497,0,0,0,0,0,"114","274",0,0,"0","0","0","0","0","1","0","0","0","0","0",0,152.875
500,5400,3,0,0,0,0,0,0,"104","863",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,116.625
2000,6100,38,391657,0,0,0,0,0,"237","388",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,68.875
2000,5500,50,55958,0,0,0,0,0,"48","67",4,0,"0","0","0","0","0","0","0","0","0","0","0",0,78.375
2000,6200,93,341566,0,0,0,0,0,"227","305",0,0,"0","0","0","0","0","0","0","0","0","0","0",0,355.875
8000,8100,73,883301,0,0,0,0,0,"75","413",0,0,"0","0","0","0","0","0","2","1","0","0","0",0,110.875
5000,7400,33,0,4,3,2,1,0,"32","201",4,0,"2","2","2","0","0","0","0","0","0","0","0",0,137.625
500,5700,42,181085,0,0,0,0,0,"408","715",2,0,"0","0","0","0","0","1","0","0","0","0","0",0,130.625
5000,8900,110,674410,0,0,0,0,0,"55","81",2,8,"0","0","0","0","0","1","2","0","0","0","0",0,330.375
3000,7600,39,513282,0,0,0,0,0,"32","49",4,0,"2","2","2","0","0","0","2","0","0","0","0",0,96.875
2000,6200,30,84124,0,0,0,0,0,"241","393",4,10,"2","0","0","0","0","0","0","0","0","0","0",0,81.875
500,5900,39,0,6,2,0,6,2,"499","926",2,0,"0","0","0","0","0","0","0","0","0","0","0",0,263.625
500,7200,39,0,0,0,0,0,0,"32","198",4,0,"2","0","2","0","0","0","0","0","0","0","0",0,260.375
