"Outcome_M2","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_4","Quan_16","Quan_18","Cat_110","Cat_349","Cat_404","Cat_466","Cat_467","Cat_469","Cat_484","Cat_494","Cat_498"
2000,5600,16,32760,0,0,0,0,0,"377",8,0,"0","0","0","0","0","0","0","0","0"
60000,8700,92,1516735,54,20,22,29,10,"40",8,0,"0","0","0","0","1","2","0","0","0"
2000,4200,6,128209,0,0,0,0,0,"382",0,0,"0","0","0","0","0","0","0","0","0"
2000,8200,82,62984,0,0,0,0,0,"89",4,0,"2","0","0","0","0","2","0","0","0"
5000,9300,80,0,19,11,4,6,4,"259",0,0,"0","0","0","0","0","0","0","0","0"
2000,0,1,86725,5,3,0,3,2,"1229",4,0,"0","0","0","0","0","0","0","0","0"
3000,7900,81,1106,0,0,0,0,0,"175",16,16,"0","0","0","0","0","0","0","0","0"
2000,6200,99,303842,0,0,0,0,0,"583",0,0,"0","0","0","0","0","0","0","0","0"
2000,5600,21,384334,0,0,0,0,0,"277",0,0,"0","0","0","0","0","0","0","0","0"
21000,8100,145,1003761,0,0,0,0,0,"86",32,16,"2","0","0","0","1","2","0","1","0"
3000,7400,49,589158,0,0,0,0,0,"408",0,0,"2","0","0","0","1","0","0","0","0"
6000,8000,98,27136,0,0,0,0,0,"429",0,0,"2","0","0","0","1","0","0","1","0"
5000,8500,39,2006285,0,0,0,0,0,"188",16,0,"0","0","0","0","1","0","0","0","0"
500,5200,3,72774,2,1,0,2,1,"675",0,0,"0","0","0","0","0","0","0","0","0"
11000,7900,91,669770,31,23,8,21,18,"30",4,0,"2","0","0","0","1","2","0","1","1"
2000,5900,66,1361,20,2,9,2,1,"302",8,0,"2","0","0","0","0","0","0","0","0"
2000,7400,39,428610,7,0,1,4,0,"764",0,0,"0","0","0","0","0","0","0","0","0"
27000,7600,119,478691,0,0,0,0,0,"641",256,0,"0","0","0","0","1","0","0","0","0"
10000,8200,108,975913,0,0,0,0,0,"176",12,12,"2","0","0","0","1","2","0","0","0"
3000,8100,59,438753,0,0,0,0,0,"331",16,16,"2","0","0","0","1","0","0","0","0"
11000,7800,106,442044,0,0,0,0,0,"320",0,0,"0","0","0","0","0","0","0","0","0"
500,6500,13,0,0,0,0,0,0,"391",2,0,"0","0","0","0","0","0","2","0","0"
6000,7000,92,517764,0,0,0,0,0,"303",16,16,"0","0","0","0","0","0","0","0","0"
103000,8200,79,5417231,134,11,79,28,5,"1116",0,0,"2","0","0","0","0","0","0","0","0"
3000,6900,8,439801,0,0,0,0,0,"352",8,0,"3","0","0","0","0","0","0","0","0"
3000,8100,135,380699,0,0,0,0,0,"550",8,0,"0","0","0","0","0","0","0","0","0"
2000,8000,70,30069,0,0,0,0,0,"567",16,0,"0","0","0","0","0","0","0","0","0"
10000,6300,37,1007988,0,0,0,0,0,"150",2,0,"0","0","0","0","0","0","0","0","0"
5000,8500,77,503093,0,0,0,0,0,"398",16,0,"0","0","0","0","0","0","0","0","0"
2000,7600,27,370537,0,0,0,0,0,"371",0,0,"0","0","0","0","0","0","0","0","0"
215000,8500,125,2408730,0,0,0,0,0,"11",18,18,"4","0","0","0","1","2","0","1","1"
5000,6400,76,0,10,5,5,5,5,"1058",16,0,"0","0","0","0","0","0","0","0","0"
8000,6700,67,335300,0,0,0,0,0,"402",12,0,"0","0","0","0","1","0","0","0","0"
3000,7900,58,0,0,0,0,0,0,"198",8,8,"0","0","0","0","0","0","0","0","0"
2000,6500,51,16442,0,0,0,0,0,"151",8,0,"0","0","0","0","0","0","0","0","0"
2000,6800,95,0,0,0,0,0,0,"42",16,0,"0","0","0","0","0","0","0","0","0"
19000,7200,35,924460,0,0,0,0,0,"40",8,0,"0","0","2","0","0","2","0","0","0"
6000,5100,50,25777,0,0,0,0,0,"197",8,0,"0","0","0","0","0","0","0","0","0"
3000,4500,60,561128,0,0,0,0,0,"359",0,0,"0","0","0","0","0","0","0","0","0"
2000,5800,72,118199,50,8,17,34,4,"965",10,0,"0","0","0","0","1","0","0","1","0"
3000,7000,67,70234,0,0,0,0,0,"497",4,0,"0","0","0","0","0","0","0","0","0"
6000,5600,99,635484,0,0,0,0,0,"245",16,4,"2","0","0","0","0","0","0","0","0"
500,4700,11,98168,0,0,0,0,0,"222",0,0,"0","0","0","0","0","0","0","0","0"
500,7900,65,48840,0,0,0,0,0,"236",8,0,"0","0","0","0","0","0","0","0","0"
26000,9200,132,725087,0,0,0,0,0,"81",8,0,"0","0","2","0","1","2","0","1","1"
8000,4900,51,0,40,6,15,13,1,"1075",2,0,"0","0","0","0","0","0","0","0","0"
35000,8300,76,1238684,0,0,0,0,0,"39",2,0,"0","0","0","2","1","0","0","0","0"
16000,7600,45,820707,0,0,0,0,0,"40",8,0,"0","0","0","0","0","0","0","0","0"
500,5900,58,7701,0,0,0,0,0,"729",0,0,"0","0","0","0","0","0","0","0","0"
2000,6700,33,779723,0,0,0,0,0,"5",2,0,"0","0","0","0","0","0","0","0","0"
5000,7500,125,518565,0,0,0,0,0,"20",0,0,"0","0","0","0","0","0","0","0","0"
2000,6400,70,11971,0,0,0,0,0,"350",4,0,"0","0","0","0","0","0","0","0","0"
16000,8500,111,326799,55,23,11,43,21,"733",8,0,"0","0","0","0","1","0","0","1","1"
3000,6900,59,598947,0,0,0,0,0,"244",0,0,"0","0","0","0","1","0","0","0","0"
2000,7200,64,151404,0,0,0,0,0,"346",8,0,"0","0","0","0","0","0","0","0","0"
6000,7500,82,367178,26,9,10,15,5,"1127",4,0,"0","0","0","0","1","0","0","0","0"
8000,8000,92,664717,0,0,0,0,0,"179",4,0,"2","0","0","0","0","0","0","0","0"
500,6400,60,67691,0,0,0,0,0,"676",0,0,"0","0","0","0","0","0","0","0","0"
15000,7700,49,910668,0,0,0,0,0,"179",4,0,"2","0","0","0","1","2","0","1","0"
2000,3700,7,128209,0,0,0,0,0,"382",0,0,"0","0","0","0","0","0","0","0","0"
500,7100,34,0,0,0,0,0,0,"285",0,0,"0","0","0","0","0","0","0","0","0"
6000,8200,66,18034,0,0,0,0,0,"48",4,0,"0","0","0","0","0","0","0","0","0"
16000,4600,60,631652,0,0,0,0,0,"156",0,0,"3","0","0","0","0","2","0","0","0"
8000,7900,36,483256,0,0,0,0,0,"51",12,0,"0","0","0","0","0","0","0","0","0"
3000,7500,60,242444,6,0,2,1,0,"664",0,0,"2","0","0","0","0","0","0","0","0"
11000,6700,104,335300,0,0,0,0,0,"402",12,0,"0","0","0","0","1","2","0","1","1"
500,5800,59,7701,0,0,0,0,0,"729",0,0,"0","0","0","0","0","0","0","0","0"
18000,7800,68,910668,0,0,0,0,0,"179",4,0,"2","0","0","0","0","0","0","0","0"
10000,8000,89,860321,0,0,0,0,0,"108",2,0,"0","0","0","0","1","2","0","1","0"
5000,8700,85,28164,0,0,0,0,0,"450",0,0,"0","0","0","0","0","2","0","0","0"
5000,7800,138,373658,0,0,0,0,0,"2",8,8,"0","0","0","0","1","0","0","1","0"
5000,7400,72,622980,0,0,0,0,0,"205",4,0,"2","0","0","0","0","2","0","0","0"
500,5900,8,934,0,0,0,0,0,"864",0,0,"0","0","0","0","0","0","0","0","0"
16000,4700,11,224077,88,8,63,7,1,"1166",8,0,"3","0","0","0","0","0","0","0","0"
10000,7900,118,1073298,0,0,0,0,0,"185",0,0,"0","0","0","0","0","0","0","0","0"
42000,8600,115,1348716,0,0,0,0,0,"566",0,0,"0","0","0","0","1","0","0","1","1"
500,5300,39,73152,0,0,0,0,0,"67",0,0,"2","0","0","0","0","0","0","0","0"
40000,9500,166,1784743,0,0,0,0,0,"259",0,0,"0","0","0","0","1","0","0","1","1"
500,6100,12,166048,0,0,0,0,0,"409",0,0,"0","0","0","0","0","0","0","0","0"
2000,6500,3,194305,5,1,2,2,1,"17",0,0,"0","0","0","0","0","0","0","0","0"
6000,6600,100,388256,0,0,0,0,0,"437",0,0,"0","0","0","0","0","0","0","0","0"
2000,4400,84,108948,0,0,0,0,0,"672",0,0,"2","0","0","0","0","0","0","0","0"
500,6600,47,0,0,0,0,0,0,"492",0,0,"2","0","0","0","0","0","0","0","0"
19000,8800,104,1247336,0,0,0,0,0,"367",24,0,"0","0","0","0","1","2","0","1","0"
500,7000,87,37215,0,0,0,0,0,"460",8,0,"0","0","0","0","0","0","0","0","0"
6000,7900,62,940341,34,10,8,20,8,"763",0,0,"2","0","0","0","1","0","0","1","0"
6000,8100,67,40535,0,0,0,0,0,"47",4,0,"0","0","0","0","0","0","0","0","0"
13000,6100,79,631407,0,0,0,0,0,"156",0,0,"0","0","0","0","0","2","0","0","0"
48000,9000,185,744808,0,0,0,0,0,"444",32,0,"0","0","0","0","1","2","0","1","0"
10000,8100,55,1503860,0,0,0,0,0,"39",2,0,"0","0","0","0","0","0","0","0","0"
2000,5400,36,37394,0,0,0,0,0,"312",0,0,"2","0","0","0","0","0","0","0","0"
118000,8800,126,649910,0,0,0,0,0,"410",8,8,"4","0","0","0","0","0","0","0","0"
3000,5900,30,220062,0,0,0,0,0,"266",12,0,"0","0","0","0","0","0","0","0","0"
2000,4800,11,75453,0,0,0,0,0,"618",30,0,"0","0","0","0","0","0","0","0","0"
3000,6700,117,0,0,0,0,0,0,"42",16,0,"0","0","0","0","0","2","0","0","0"
2000,7500,58,360652,8,2,2,4,2,"264",12,0,"0","0","0","0","0","0","0","0","0"
97000,9400,142,2363963,0,0,0,0,0,"646",16,0,"3","2","0","0","1","2","0","1","0"
2000,6500,54,94125,0,0,0,0,0,"356",0,0,"0","0","0","0","0","0","0","0","0"
2000,7400,46,228284,0,0,0,0,0,"8",4,0,"0","0","0","0","0","0","0","0","0"
500,4900,59,12871,0,0,0,0,0,"456",0,0,"0","0","0","0","1","0","0","0","0"
10000,5400,91,214370,0,0,0,0,0,"254",0,0,"0","0","0","0","0","0","0","0","0"
500,3500,5,22501,0,0,0,0,0,"386",0,0,"0","0","0","0","0","0","0","0","0"
5000,8200,89,397585,0,0,0,0,0,"55",0,0,"0","0","0","0","0","0","0","0","0"
11000,7900,97,352519,0,0,0,0,0,"541",8,0,"0","0","0","0","0","2","0","0","0"
2000,5900,44,373752,42,1,23,22,0,"1350",0,0,"0","0","0","0","0","0","0","0","0"
3000,8600,84,114820,0,0,0,0,0,"374",12,12,"0","0","0","0","0","2","0","0","0"
3000,6100,92,305595,26,9,12,22,8,"252",12,0,"2","0","0","0","1","0","0","0","0"
5000,6100,5,227165,13,1,8,2,0,"382",0,0,"0","0","0","0","0","0","0","0","0"
27000,8300,77,1503860,0,0,0,0,0,"39",2,0,"0","0","0","2","0","0","0","0","0"
6000,6400,100,0,0,0,0,0,0,"496",0,0,"0","0","0","0","0","0","0","0","0"
52000,9000,136,2180621,0,0,0,0,0,"243",16,16,"4","0","0","0","1","0","0","1","1"
10000,7900,106,538747,0,0,0,0,0,"448",0,0,"0","0","0","0","0","2","0","0","0"
11000,9100,80,262738,15,3,4,7,2,"32",8,0,"0","0","0","0","0","0","0","0","0"
5000,8200,87,1815872,0,0,0,0,0,"128",12,0,"0","0","0","0","0","2","0","0","0"
2000,6800,50,598947,0,0,0,0,0,"244",0,0,"0","0","0","0","1","0","0","0","0"
6000,7700,57,1153618,38,0,17,14,0,"860",8,0,"2","0","0","0","0","0","0","0","0"
2000,7100,7,0,1,1,0,1,1,"854",0,0,"0","0","0","0","1","0","0","1","0"
500,6900,52,25475,0,0,0,0,0,"158",4,0,"0","0","0","0","0","0","0","0","0"
3000,5700,50,77366,0,0,0,0,0,"226",0,0,"2","0","0","0","0","0","0","0","0"
8000,8100,72,394304,0,0,0,0,0,"44",4,0,"0","0","0","0","0","0","0","0","0"
500,7600,57,135646,0,0,0,0,0,"282",6,0,"0","0","0","0","0","0","0","0","0"
21000,3500,6,47904,42,2,37,5,0,"1193",0,0,"0","0","0","0","0","0","0","0","0"
500,6000,7,0,1,0,0,1,0,"677",8,0,"0","0","0","0","0","0","0","0","0"
3000,8100,53,603869,0,0,0,0,0,"153",8,0,"0","0","0","0","0","0","0","0","0"
10000,6800,13,685970,48,2,30,5,0,"1134",4,0,"0","0","0","0","0","0","0","0","0"
15000,8800,141,873287,0,0,0,0,0,"87",8,8,"0","0","0","0","0","2","0","0","0"
500,7500,66,312,0,0,0,0,0,"891",0,0,"0","0","0","0","0","0","0","0","0"
500,5500,16,64356,2,0,0,2,0,"281",0,0,"0","0","0","0","0","0","0","0","0"
5000,7500,59,0,23,7,7,6,2,"422",2,0,"0","0","0","0","1","2","0","0","0"
2000,4000,18,114640,0,0,0,0,0,"256",2,0,"2","0","0","0","0","0","0","0","0"
2000,6000,18,299523,0,0,0,0,0,"196",0,0,"0","0","0","0","0","0","0","0","0"
5000,7900,81,123327,0,0,0,0,0,"43",4,0,"0","0","0","0","0","2","0","0","0"
3000,7800,70,381,0,0,0,0,0,"428",0,0,"0","0","0","0","0","0","0","0","0"
2000,5900,94,317271,6,2,2,4,2,"564",0,0,"0","0","0","0","0","0","0","0","0"
29000,9300,156,922361,0,0,0,0,0,"1",0,0,"0","0","0","0","1","0","0","1","1"
5000,5100,30,308925,0,0,0,0,0,"212",0,0,"0","0","0","0","0","0","0","0","0"
500,5300,4,0,0,0,0,0,0,"890",0,0,"0","0","0","0","0","0","0","0","0"
2000,5000,8,180029,0,0,0,0,0,"481",0,0,"0","0","0","0","0","0","0","0","0"
5000,5400,83,540020,0,0,0,0,0,"20",0,0,"0","0","0","0","0","0","0","0","0"
2000,7500,49,0,1,1,0,0,0,"833",0,0,"0","0","0","0","0","0","0","0","0"
2000,6400,34,19555,0,0,0,0,0,"151",8,0,"2","0","0","0","0","0","0","0","0"
2000,7000,50,87643,0,0,0,0,0,"218",16,16,"0","0","0","0","0","0","0","0","0"
16000,4800,67,315645,46,1,36,7,1,"1122",4,0,"2","0","0","0","0","0","0","0","0"
10000,7500,61,257699,37,13,4,27,10,"79",0,0,"2","0","0","0","0","0","0","0","0"
2000,0,2,0,0,0,0,0,0,"760",0,0,"0","0","0","0","0","0","0","0","0"
18000,8300,49,411958,0,0,0,0,0,"6",10,0,"0","0","0","0","0","2","0","0","0"
500,5200,68,0,0,0,0,0,0,"549",0,0,"0","0","0","0","0","0","0","0","0"
2000,7600,39,0,2,1,1,1,1,"841",2,0,"2","0","0","0","1","0","0","1","1"
500,7000,30,22522,0,0,0,0,0,"451",0,0,"0","0","0","0","0","0","0","0","0"
3000,8600,56,114820,0,0,0,0,0,"374",12,0,"0","0","0","0","0","2","0","0","0"
6000,7000,61,513190,0,0,0,0,0,"123",2,0,"2","0","0","0","0","0","0","0","0"
5000,8100,49,18034,0,0,0,0,0,"48",4,0,"0","0","0","0","0","2","0","0","0"
3000,8300,69,14306,8,4,3,2,2,"1010",12,0,"0","0","0","0","0","0","0","0","0"
500,5700,29,8895,0,0,0,0,0,"372",4,0,"0","0","0","0","0","0","0","0","0"
6000,7700,119,241135,0,0,0,0,0,"218",12,12,"0","0","0","0","0","0","0","0","0"
34000,8700,128,1749217,0,0,0,0,0,"129",60,0,"3","0","0","0","1","2","0","1","0"
6000,9200,80,922361,0,0,0,0,0,"1",0,0,"0","0","0","0","1","2","0","1","1"
500,6200,47,4315,0,0,0,0,0,"642",16,0,"0","0","0","0","0","0","0","0","0"
500,6000,5,152120,0,0,0,0,0,"174",0,0,"0","0","0","0","0","0","0","0","0"
2000,6300,83,334974,0,0,0,0,0,"455",0,0,"0","0","0","0","0","0","0","0","0"
2000,7500,27,6274,0,0,0,0,0,"47",4,0,"2","0","0","0","0","0","0","0","0"
10000,8100,111,670440,0,0,0,0,0,"725",12,0,"0","0","0","0","0","2","0","0","0"
3000,7700,48,6274,0,0,0,0,0,"47",4,0,"2","0","0","0","0","0","0","0","0"
3000,6200,59,746269,0,0,0,0,0,"18",0,0,"0","0","0","0","1","0","0","1","0"
5000,7100,94,123467,0,0,0,0,0,"152",12,0,"2","0","0","0","0","0","0","0","0"
2000,7600,89,90686,33,10,17,19,7,"18",0,0,"0","0","0","0","0","0","0","0","0"
500,7600,71,4538,0,0,0,0,0,"655",4,0,"3","0","0","0","0","0","0","0","0"
8000,8200,77,242674,31,4,13,9,2,"48",7,0,"0","0","0","0","0","0","0","0","0"
3000,8300,101,673497,0,0,0,0,0,"274",0,0,"0","0","0","0","1","0","0","0","0"
500,5400,3,0,0,0,0,0,0,"863",0,0,"0","0","0","0","0","0","0","0","0"
500,6100,38,391657,0,0,0,0,0,"388",2,0,"0","0","0","0","0","0","0","0","0"
2000,5500,50,55958,0,0,0,0,0,"67",2,0,"2","0","0","0","0","0","0","0","0"
8000,6200,93,341566,0,0,0,0,0,"305",8,0,"0","0","0","0","0","0","0","0","0"
11000,8100,73,883301,0,0,0,0,0,"413",16,0,"0","0","0","0","0","2","0","0","0"
11000,7400,33,0,4,3,2,1,0,"201",2,0,"0","0","0","0","0","0","0","0","0"
3000,5700,42,181085,0,0,0,0,0,"715",8,0,"0","0","0","0","1","0","0","0","0"
32000,8900,110,674410,0,0,0,0,0,"81",8,8,"0","0","0","0","1","2","0","0","0"
6000,7600,39,513282,0,0,0,0,0,"49",10,0,"0","0","0","0","0","2","0","0","0"
2000,6200,30,84124,0,0,0,0,0,"393",12,10,"0","0","0","0","0","0","0","0","0"
500,5900,39,0,6,2,0,6,2,"926",0,0,"0","0","0","0","0","0","0","0","0"
2000,7200,39,0,0,0,0,0,0,"198",8,0,"0","0","0","0","0","0","0","0","0"
2000,6900,65,0,25,15,4,13,6,"22",8,0,"0","0","0","0","1","0","0","0","0"
500,6100,11,221857,0,0,0,0,0,"174",0,0,"0","0","0","0","0","0","0","0","0"
500,5900,54,9772,1,1,0,1,1,"895",0,0,"3","0","0","0","0","0","0","0","0"
315000,8600,137,4365238,204,73,39,83,46,"11",18,18,"3","0","0","0","1","0","0","1","1"
500,5400,22,0,0,0,0,0,0,"621",0,0,"0","0","0","0","0","0","0","0","0"
6000,8300,72,304545,0,0,0,0,0,"286",6,0,"0","0","0","0","0","0","0","0","0"
23000,8500,103,169907,54,20,21,42,16,"754",12,0,"0","0","0","0","1","2","0","1","0"
3000,8000,45,0,0,0,0,0,0,"406",8,0,"0","0","0","0","1","0","0","0","0"
500,5200,7,86725,5,3,0,3,2,"1229",4,0,"0","0","0","0","0","0","0","0","0"
2000,8400,10,0,1,0,0,0,0,"1168",0,0,"3","0","0","0","0","0","0","0","0"
3000,7000,8,327421,0,0,0,0,0,"69",4,0,"0","0","0","0","0","0","0","0","0"
3000,5900,49,95291,0,0,0,0,0,"66",0,0,"4","0","0","0","0","0","0","0","0"
3000,6400,73,398306,0,0,0,0,0,"250",0,0,"0","0","0","0","0","0","0","1","1"
3000,6900,28,67486,0,0,0,0,0,"201",2,0,"0","0","0","0","0","0","0","0","0"
8000,7500,26,0,6,4,3,1,0,"201",4,0,"0","0","0","0","0","0","0","0","0"
2000,4300,38,367328,0,0,0,0,0,"714",0,0,"2","0","0","0","0","0","0","0","0"
2000,6600,49,84124,0,0,0,0,0,"393",10,10,"0","0","0","0","0","0","0","0","0"
500,5700,7,176797,3,0,0,3,0,"1234",0,0,"4","0","0","0","0","0","0","0","0"
2000,3800,17,191088,0,0,0,0,0,"15",0,0,"0","0","0","0","0","0","0","0","0"
6000,8000,71,1164838,0,0,0,0,0,"44",4,0,"0","0","0","0","0","0","0","0","0"
3000,8800,93,1834182,0,0,0,0,0,"279",6,0,"2","0","0","0","1","0","0","1","0"
3000,8800,34,28203,0,0,0,0,0,"52",12,7,"0","0","0","0","0","0","0","0","0"
500,6300,11,74602,0,0,0,0,0,"675",0,0,"0","0","0","0","1","0","0","0","0"
2000,5800,59,0,49,7,10,9,2,"1073",0,0,"0","0","0","0","0","0","0","0","0"
500,6300,5,22239,4,1,1,3,1,"681",2,0,"0","0","0","0","0","0","0","0","0"
2000,5400,3,144712,2,0,0,2,0,"262",0,0,"0","0","0","0","0","0","0","0","0"
11000,8000,77,385852,0,0,0,0,0,"203",16,0,"3","0","0","0","0","2","0","0","0"
2000,6400,43,232964,0,0,0,0,0,"221",0,0,"2","0","0","0","0","0","0","0","0"
34000,9100,143,582649,0,0,0,0,0,"565",0,0,"0","0","0","0","1","2","2","1","0"
2000,7600,71,228284,0,0,0,0,0,"8",4,0,"0","0","0","0","0","0","0","0","0"
500,7200,66,148530,0,0,0,0,0,"635",0,0,"0","0","0","0","0","0","0","0","0"
21000,8400,136,1345876,0,0,0,0,0,"445",2,0,"4","0","0","0","1","2","0","1","1"
6000,7000,64,437694,0,0,0,0,0,"44",4,0,"0","0","0","0","0","0","0","0","0"
500,5500,10,152120,0,0,0,0,0,"174",0,0,"0","0","0","0","0","0","0","0","0"
500,5900,26,0,0,0,0,0,0,"621",0,0,"0","0","0","0","0","0","0","0","0"
2000,7800,58,25120,0,0,0,0,0,"199",2,0,"0","0","0","0","0","0","0","0","0"
8000,8700,74,222511,0,0,0,0,0,"48",20,0,"0","0","0","0","1","2","0","0","0"
6000,6000,31,55669,37,15,12,19,10,"1362",16,0,"0","0","0","0","0","0","0","0","0"
8000,8400,93,1616915,0,0,0,0,0,"40",8,0,"0","0","0","0","1","0","0","0","0"
6000,7700,48,513282,0,0,0,0,0,"49",10,0,"0","0","0","0","0","2","0","0","0"
144000,9600,146,2479325,0,0,0,0,0,"361",16,0,"3","2","0","0","1","2","0","1","0"
18000,8300,126,639700,0,0,0,0,0,"80",2,2,"2","0","0","0","0","2","0","0","0"
2000,6100,86,0,0,0,0,0,0,"70",4,0,"0","0","0","0","0","0","0","0","0"
5000,7000,44,1014891,0,0,0,0,0,"284",0,0,"2","0","0","0","0","0","0","0","0"
2000,6400,43,0,1,1,0,1,1,"1089",0,0,"0","0","0","0","0","0","0","0","0"
8000,7700,71,1153618,0,0,0,0,0,"860",8,0,"2","0","0","0","0","0","0","0","0"
21000,9000,96,1329383,0,0,0,0,0,"385",0,0,"0","0","0","0","1","0","0","1","0"
500,2800,51,233505,0,0,0,0,0,"447",8,0,"0","0","0","0","0","0","0","0","0"
10000,4600,44,487737,29,1,13,11,1,"19",4,0,"0","0","0","0","0","0","0","0","0"
3000,4800,5,37066,0,0,0,0,0,"10",0,0,"0","0","0","0","0","0","0","0","0"
2000,6800,88,240488,0,0,0,0,0,"414",0,0,"0","0","0","0","0","2","0","0","0"
6000,6500,93,62744,0,0,0,0,0,"181",16,16,"3","0","0","0","0","0","0","0","0"
500,7500,64,91439,10,3,2,5,3,"279",6,0,"2","0","0","0","1","0","0","0","0"
3000,7800,87,2241,3,1,0,2,1,"900",0,0,"0","0","0","0","0","0","0","0","0"
2000,6700,19,67486,0,0,0,0,0,"201",2,0,"0","0","0","0","0","0","0","0","0"
2000,7200,73,20658,0,0,0,0,0,"270",2,0,"0","0","0","0","0","0","0","0","0"
2000,7500,67,2330,0,0,0,0,0,"210",0,0,"2","0","0","0","0","0","0","0","0"
3000,7900,64,145077,47,4,24,12,3,"44",24,0,"0","0","0","0","0","0","0","0","0"
5000,8800,55,16504,26,11,13,9,5,"52",12,0,"0","0","0","0","0","0","0","0","0"
6000,7700,88,537923,0,0,0,0,0,"407",20,0,"0","0","0","0","1","0","0","1","0"
500,5400,17,64356,2,0,0,2,0,"281",0,0,"0","0","0","0","0","0","0","0","0"
2000,6300,51,195081,0,0,0,0,0,"291",0,0,"2","0","0","0","0","0","0","0","0"
500,4300,4,180029,0,0,0,0,0,"481",0,0,"0","0","0","0","0","0","0","0","0"
2000,7000,67,121700,0,0,0,0,0,"597",4,0,"4","0","0","0","1","0","0","0","0"
3000,7100,80,121700,0,0,0,0,0,"597",4,0,"4","0","0","0","1","2","0","0","0"
10000,8100,135,451502,0,0,0,0,0,"490",6,6,"2","0","0","0","1","2","0","1","0"
3000,7800,57,12461,0,0,0,0,0,"199",4,0,"0","0","0","0","0","0","0","0","0"
2000,6100,27,459861,0,0,0,0,0,"5",2,0,"0","0","0","0","0","0","0","0","0"
2000,7100,45,0,0,0,0,0,0,"42",0,0,"0","0","0","0","1","0","0","0","0"
500,4600,45,92257,0,0,0,0,0,"240",0,0,"0","0","0","0","0","0","0","0","0"
500,4000,30,396868,10,2,4,6,2,"1044",0,0,"2","0","0","0","0","0","0","0","0"
3000,6900,48,204611,0,0,0,0,0,"96",2,0,"0","0","0","0","0","0","0","0","0"
10000,8500,97,648530,0,0,0,0,0,"190",6,6,"3","0","0","0","1","2","0","0","0"
8000,8200,55,467424,0,0,0,0,0,"38",2,0,"0","0","0","0","0","2","0","0","0"
5000,6900,31,688576,0,0,0,0,0,"96",2,0,"0","0","0","0","0","0","0","0","0"
21000,9200,113,752566,0,0,0,0,0,"32",2,0,"0","0","0","0","1","2","0","1","0"
15000,8700,78,1172663,34,14,17,9,6,"48",22,0,"0","0","0","0","1","2","0","0","0"
74000,9700,112,2089715,0,0,0,0,0,"361",16,0,"3","2","0","0","1","2","0","1","0"
19000,8600,113,850081,0,0,0,0,0,"38",2,0,"0","0","0","0","0","0","0","0","0"
5000,7700,82,241135,0,0,0,0,0,"218",12,0,"0","0","0","0","0","0","0","0","0"
2000,6000,46,398306,0,0,0,0,0,"250",0,0,"0","0","0","0","1","0","0","1","0"
10000,8100,29,72764,0,0,0,0,0,"4",8,0,"0","0","0","0","0","0","0","0","0"
8000,7000,39,779723,0,0,0,0,0,"5",2,0,"0","0","0","0","0","0","0","0","0"
3000,6700,82,0,26,15,4,13,6,"22",8,0,"0","0","0","0","1","0","0","0","0"
11000,7500,59,769387,34,12,14,15,9,"179",12,0,"0","0","0","0","1","2","0","1","0"
115000,7400,66,1242470,99,10,48,28,6,"1118",4,0,"3","0","0","0","0","0","0","0","0"
6000,8100,98,506824,0,0,0,0,0,"169",0,0,"0","0","0","0","1","0","0","1","0"
44000,8400,72,3030132,89,22,30,61,17,"39",6,0,"0","0","0","0","0","0","0","0","0"
5000,6100,112,49260,0,0,0,0,0,"85",0,0,"0","0","0","0","0","0","0","0","0"
21000,3200,49,0,49,1,37,6,0,"1263",0,0,"0","0","0","0","0","0","0","0","0"
2000,7400,40,115259,2,0,0,2,0,"372",4,0,"0","0","0","0","0","0","0","0","0"
10000,8200,103,907724,0,0,0,0,0,"486",4,4,"2","0","0","0","0","0","0","0","0"
6000,6900,22,76488,0,0,0,0,0,"201",2,0,"0","0","0","0","0","0","0","0","0"
5000,8600,89,1006612,0,0,0,0,0,"657",4,0,"0","0","0","0","0","0","0","0","0"
5000,7000,86,70234,0,0,0,0,0,"497",4,0,"0","0","0","0","0","0","0","0","0"
3000,6800,49,0,0,0,0,0,0,"7",12,0,"0","0","0","0","0","0","0","0","0"
5000,8500,107,793713,0,0,0,0,0,"123",8,0,"2","0","0","0","0","0","0","0","0"
5000,8300,26,534158,0,0,0,0,0,"6",10,0,"0","0","0","0","0","0","0","0","0"
3000,7600,73,74139,0,0,0,0,0,"53",8,0,"0","0","0","0","0","0","0","0","0"
2000,4800,77,25811,0,0,0,0,0,"570",0,0,"2","0","0","0","0","0","0","0","0"
31000,7100,60,924460,0,0,0,0,0,"40",8,0,"0","0","2","0","0","2","0","0","0"
500,1600,13,0,0,0,0,0,0,"397",0,0,"0","2","0","0","0","0","0","0","0"
3000,7300,85,546056,0,0,0,0,0,"260",12,0,"0","0","0","0","0","0","0","0","0"
3000,5500,76,0,0,0,0,0,0,"300",4,4,"2","0","0","0","0","0","0","0","0"
2000,5400,37,331563,0,0,0,0,0,"360",2,0,"0","0","0","0","0","0","0","0","0"
2000,5400,56,564834,0,0,0,0,0,"369",0,0,"0","0","0","0","0","0","0","0","0"
3000,7400,60,94900,0,0,0,0,0,"495",8,0,"2","0","0","0","0","0","0","0","0"
