"Outcome_M8","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Cat_15","Quan_18","Cat_139","Cat_245","Cat_392","Cat_469","Cat_470","Cat_484","Cat_494","Cat_501","Cat_513"
3000,1960,5500,53,396297,0,0,0,0,0,0,0,0,0,"5","126","200","4",0,"2","0","0","0","0","0","0","0","0"
2000,2975,8700,182,4741,0,0,0,0,0,0,0,0,0,"42","341","585","1",0,"0","0","0","2","0","0","0","0","0"
500,1855,4200,19,631652,0,0,0,0,0,0,0,0,0,"45","100","156","4",0,"0","0","0","0","0","0","0","0","0"
500,2347,5500,36,564834,0,0,0,0,0,0,0,0,0,"45","225","369","2",0,"0","0","0","0","0","0","0","0","0"
3000,2354,9300,144,1650772,0,0,0,0,0,0,0,0,0,"27","223","364","1",0,"0","0","0","2","0","0","1","0","0"
500,2744,7500,46,245463,0,0,0,0,0,0,0,0,0,"3","362","213","4",0,"0","0","0","0","0","0","0","0","0"
500,2240,3500,8,91161,0,0,0,0,0,0,0,0,0,"4","9","12","2",0,"0","0","0","0","0","0","0","0","0"
2000,3229,7500,65,1969756,80,8,42,80,80,24,5,24,24,"7","192","1117","3",0,"0","0","0","0","0","0","1","0","0"
500,2148,5500,11,153980,0,0,0,0,0,0,0,0,0,"53","129","207","4",0,"0","0","0","0","0","0","0","0","0"
500,1974,6200,16,164171,0,0,0,0,0,0,0,0,0,"28","114","187","4",0,"0","0","0","0","0","0","0","0","0"
2000,2471,6300,22,230598,0,0,0,0,0,0,0,0,0,"42","77","150","3",0,"0","0","0","0","0","0","0","0","0"
500,2733,6000,37,23149,0,0,0,0,0,0,0,0,0,"26","48","66","2",0,"0","0","0","0","0","0","0","0","0"
2000,2226,6900,96,549715,0,0,0,0,0,0,0,0,0,"72","208","340","1",0,"0","0","0","0","0","0","0","0","0"
500,1777,8000,33,691706,0,0,0,0,0,0,0,0,0,"3","4","6","3",0,"0","0","0","0","0","0","0","0","0"
500,1988,5500,40,51652,0,0,0,0,0,0,0,0,0,"61","167","263","2",16,"0","0","0","0","0","0","0","0","0"
500,2828,0,2,131448,0,0,0,0,0,0,0,0,0,"5","6","10","2",0,"0","0","0","0","0","0","0","0","0"
500,2143,5000,52,49935,0,0,0,0,0,0,0,0,0,"5","9","287","1",12,"0","0","0","0","0","0","0","0","0"
500,3192,0,0,194305,3,1,1,3,3,2,1,2,2,"5","6","17","3",0,"0","0","0","0","0","0","0","0","0"
500,3192,5800,69,57822,0,0,0,0,0,0,0,0,0,"49","251","708","2",0,"0","0","0","0","0","0","0","0","0"
10000,3234,8600,107,4365238,155,57,31,155,155,68,39,68,68,"5","8","11","1",0,"0","0","0","0","0","0","1","0","0"
2000,2148,8900,129,1201564,0,0,0,0,0,0,0,0,0,"42","85","308","13",0,"0","0","0","2","0","0","0","0","0"
500,2240,5900,59,95291,0,0,0,0,0,0,0,0,0,"26","48","66","2",0,"0","0","0","0","0","0","0","0","0"
500,3360,6500,38,2048,3,3,2,3,3,0,0,0,0,"151","468","1214","1",0,"0","0","0","0","0","0","1","0","0"
500,2835,4400,51,367328,0,0,0,0,0,0,0,0,0,"29","198","714","2",0,"0","0","0","0","0","0","0","0","0"
3000,3241,8900,102,1529105,121,43,37,121,121,61,27,61,61,"28","114","206","1",0,"0","0","0","2","0","0","1","0","0"
500,2513,6000,19,97941,0,0,0,0,0,0,0,0,0,"12","27","453","4",0,"0","0","0","0","0","0","0","0","0"
2000,3115,8400,38,359080,48,9,19,48,48,32,8,32,32,"17","30","51","3",0,"0","0","0","0","0","0","0","0","0"
2000,2100,7400,40,788296,0,0,0,0,0,0,0,0,0,"17","32","49","3",0,"0","0","0","2","0","0","0","0","0"
6000,2485,8800,149,483316,0,0,0,0,0,0,0,0,0,"7","207","337","1",0,"0","0","0","2","0","2","1","0","0"
2000,3220,7600,55,0,33,7,13,33,33,11,3,11,11,"16","578","1072","2",0,"0","0","0","0","0","0","0","0","0"
500,1775,7600,62,720532,0,0,0,0,0,0,0,0,0,"5","10","19","2",0,"0","0","0","0","0","0","0","0","0"
500,3038,6100,92,20071,5,3,0,5,5,3,1,3,3,"9","389","661","1",0,"0","0","0","0","0","0","0","0","0"
500,2541,6000,56,193041,0,0,0,0,0,0,0,0,0,"56","257","411","1",0,"0","0","0","0","0","0","0","0","0"
500,2142,4400,11,89480,0,0,0,0,0,0,0,0,0,"4","166","262","3",0,"0","0","0","0","0","0","0","0","0"
500,2198,5400,67,43805,0,0,0,0,0,0,0,0,0,"7","209","342","1",0,"0","0","0","0","0","0","0","0","0"
500,2366,5200,45,462746,0,0,0,0,0,0,0,0,0,"53","176","370","3",0,"0","0","0","0","0","0","0","0","0"
500,2828,8200,80,280808,0,0,0,0,0,0,0,0,0,"52","106","267","1",0,"0","0","0","0","0","0","1","0","0"
500,3003,8200,112,447992,0,0,0,0,0,0,0,0,0,"19","40","56","1",0,"0","0","0","0","0","0","0","0","0"
500,2515,6600,72,245264,0,0,0,0,0,0,0,0,0,"49","105","454","1",0,"0","0","0","0","0","0","0","0","0"
500,2275,6900,91,94125,0,0,0,0,0,0,0,0,0,"45","218","356","1",0,"0","0","0","0","0","0","0","0","0"
500,2513,7500,69,557725,0,0,0,0,0,0,0,0,0,"19","41","57","12",0,"0","0","0","0","0","0","1","0","0"
3000,2142,8000,87,1168518,0,0,0,0,0,0,0,0,0,"28","114","206","1",0,"0","0","0","2","0","2","1","0","2"
2000,3220,7900,118,457014,62,22,21,62,62,27,14,27,27,"7","207","337","17",0,"0","0","0","0","0","0","1","0","0"
500,2345,7200,95,664806,0,0,0,0,0,0,0,0,0,"47","232","378","2",0,"0","0","0","0","0","0","1","0","0"
2000,2863,8600,77,1348716,0,0,0,0,0,0,0,0,0,"16","165","566","1",0,"2","0","0","0","0","0","1","0","0"
500,1883,5500,88,2477,0,0,0,0,0,0,0,0,0,"8","122","195","1",0,"0","0","0","0","0","0","0","0","0"
500,2002,7600,76,101055,0,0,0,0,0,0,0,0,0,"56","171","270","2",2,"0","0","0","0","0","0","0","0","0"
3000,3249,8300,111,931417,107,20,48,107,107,41,7,41,41,"42","89","139","20",0,"0","0","0","2","0","0","1","0","0"
500,2597,7700,104,466603,0,0,0,0,0,0,0,0,0,"60","98","193","1",16,"0","0","0","0","0","0","0","0","0"
3000,1528,9000,133,823479,0,0,0,0,0,0,0,0,0,"28","117","188","2",16,"0","0","0","2","0","0","0","0","0"
2000,2177,6600,46,670326,0,0,0,0,0,0,0,0,0,"53","107","264","3",0,"0","0","0","0","0","0","0","0","0"
3000,1511,8500,115,467424,0,0,0,0,0,0,0,0,0,"17","29","38","2",0,"0","0","0","0","0","0","0","0","0"
6000,2492,9200,137,1329383,0,0,0,0,0,0,0,0,0,"1","1","385","1",0,"0","0","0","2","1","0","1","0","0"
2000,2058,9500,149,1005204,0,0,0,0,0,0,0,0,0,"2","133","214","1",0,"0","0","0","2","0","0","0","0","0"
2000,3220,9100,61,518273,36,12,8,36,36,13,9,13,13,"63","73","279","12",0,"0","0","0","0","0","0","0","0","0"
500,2501,6200,47,844248,0,0,0,0,0,0,0,0,0,"28","114","420","2",0,"0","0","0","0","0","0","0","0","0"
2000,2961,8700,151,834327,0,0,0,0,0,0,0,0,0,"2","282","214","7",0,"0","0","0","0","0","0","1","0","0"
500,1729,5300,28,30366,0,0,0,0,0,0,0,0,0,"28","115","184","3",0,"0","0","0","0","0","0","0","0","0"
500,2366,7300,47,5650,0,0,0,0,0,0,0,0,0,"56","171","270","2",0,"0","0","0","0","0","0","0","0","0"
500,3192,5900,18,283838,10,0,5,10,10,2,0,2,2,"16","578","1081","4",0,"0","0","0","0","0","0","0","0","0"
500,2471,6100,56,193707,0,0,0,0,0,0,0,0,0,"47","139","135","4",0,"0","0","0","0","0","0","0","0","0"
2000,3227,5600,43,0,13,6,3,13,13,2,2,2,2,"9","408","715","2",0,"2","2","0","2","0","0","1","0","0"
2000,2870,5900,44,181085,0,0,0,0,0,0,0,0,0,"9","408","715","2",0,"0","2","0","0","0","0","0","0","0"
2000,2331,8200,71,739705,0,0,0,0,0,0,0,0,0,"42","180","285","2",0,"0","0","0","0","0","0","0","0","0"
500,1421,7400,91,65599,0,0,0,0,0,0,0,0,0,"3","3","3","2",0,"0","0","0","0","0","0","0","0","0"
500,2022,7300,33,304225,0,0,0,0,0,0,0,0,0,"3","4","204","4",0,"0","0","0","0","0","0","0","0","0"
500,2338,6800,76,0,0,0,0,0,0,0,0,0,0,"5","222","362","2",16,"0","0","0","0","0","0","0","0","0"
2000,3108,7000,120,316575,0,0,0,0,0,0,0,0,0,"7","400","80","17",0,"0","0","0","0","0","0","0","0","0"
2000,3346,8500,86,10057,25,12,6,25,25,17,9,17,17,"17","32","38","1",0,"0","0","0","0","0","0","0","0","0"
500,2359,5600,16,32760,0,0,0,0,0,0,0,0,0,"77","231","377","2",0,"0","0","0","0","0","0","0","0","0"
2000,3241,8700,92,1516735,54,20,22,54,54,29,10,29,29,"16","28","40","4",0,"0","0","0","2","0","0","0","0","0"
500,2457,4200,6,128209,0,0,0,0,0,0,0,0,0,"4","6","382","2",0,"0","0","0","0","0","0","0","0","0"
500,2436,8200,82,62984,0,0,0,0,0,0,0,0,0,"7","57","89","3",0,"0","0","0","2","0","0","0","0","0"
2000,3304,9300,80,0,19,11,4,19,19,6,4,6,6,"16","165","259","1",0,"0","0","0","0","0","0","0","0","0"
500,3178,0,1,86725,5,3,0,5,5,3,2,3,3,"5","6","1229","2",0,"0","0","0","0","0","0","0","0","0"
500,1620,7900,81,1106,0,0,0,0,0,0,0,0,0,"53","108","175","3",16,"0","0","0","0","0","0","0","0","0"
500,3073,6200,99,303842,0,0,0,0,0,0,0,0,0,"45","345","583","1",0,"0","0","0","0","0","0","0","0","0"
500,2002,5600,21,384334,0,0,0,0,0,0,0,0,0,"53","176","277","3",0,"0","0","0","0","0","0","0","0","0"
3000,1421,8100,145,1003761,0,0,0,0,0,0,0,0,0,"7","57","86","1",16,"0","0","0","2","0","0","1","0","0"
500,2457,7400,49,589158,0,0,0,0,0,0,0,0,0,"60","38","408","4",0,"0","0","0","0","0","0","0","0","0"
500,2429,8000,98,27136,0,0,0,0,0,0,0,0,0,"9","16","429","2",0,"0","0","0","0","0","0","1","0","0"
2000,2058,8500,39,2006285,0,0,0,0,0,0,0,0,0,"28","118","188","2",0,"0","0","0","0","0","0","0","0","0"
500,3199,5200,3,72774,2,1,0,2,2,2,1,2,2,"105","392","675","4",0,"0","0","0","0","0","0","0","0","0"
2000,3192,7900,91,669770,31,23,8,31,31,21,18,21,21,"13","362","30","1",0,"0","0","0","2","0","0","1","0","0"
500,3213,5900,66,1361,20,2,9,20,20,2,1,2,2,"9","16","302","2",0,"0","0","0","0","0","0","0","0","0"
500,3199,7400,39,428610,7,0,1,7,7,4,0,4,4,"141","430","764","2",0,"0","0","0","0","0","0","0","0","0"
500,2947,7600,119,478691,0,0,0,0,0,0,0,0,0,"42","378","641","2",0,"0","0","0","0","0","0","0","0","0"
2000,2478,8200,108,975913,0,0,0,0,0,0,0,0,0,"53","109","176","1",12,"0","0","0","2","0","0","0","0","0"
2000,2379,8100,59,438753,0,0,0,0,0,0,0,0,0,"31","56","331","1",16,"0","0","0","0","0","0","0","0","0"
2000,2233,7800,106,442044,0,0,0,0,0,0,0,0,0,"7","135","320","2",0,"0","0","0","0","0","0","0","0","0"
500,2415,6500,13,0,0,0,0,0,0,0,0,0,0,"17","30","391","3",0,"0","0","0","0","0","2","0","0","2"
500,2128,7000,92,517764,0,0,0,0,0,0,0,0,0,"47","193","303","1",16,"0","0","0","0","0","0","0","0","0"
8000,3229,8200,79,5417231,134,11,79,134,134,28,5,28,28,"63","73","1116","2",0,"0","0","0","0","0","0","0","0","0"
500,2226,6900,8,439801,0,0,0,0,0,0,0,0,0,"27","46","352","3",0,"0","0","0","0","0","0","0","0","0"
500,2842,8100,135,380699,0,0,0,0,0,0,0,0,0,"16","206","550","1",0,"0","0","0","0","0","0","0","0","0"
2000,2807,8000,70,30069,0,0,0,0,0,0,0,0,0,"109","279","567","2",0,"0","0","0","0","0","0","0","0","0"
2000,1777,6300,37,1007988,0,0,0,0,0,0,0,0,0,"42","77","150","3",0,"0","0","0","0","0","0","0","0","0"
2000,2450,8500,77,503093,0,0,0,0,0,0,0,0,0,"12","168","398","3",0,"0","0","0","0","0","0","0","0","0"
500,2345,7600,27,370537,0,0,0,0,0,0,0,0,0,"5","227","371","4",0,"0","0","0","0","0","0","0","0","0"
15000,2506,8500,125,2408730,0,0,0,0,0,0,0,0,0,"5","8","11","1",18,"0","0","0","2","0","0","1","0","0"
500,3227,6400,76,0,10,5,5,10,10,5,5,5,5,"5","20","1058","2",0,"0","0","0","0","0","0","0","0","0"
500,2499,6700,67,335300,0,0,0,0,0,0,0,0,0,"5","8","402","2",0,"0","0","0","0","0","0","0","0","0"
500,2330,7900,58,0,0,0,0,0,0,0,0,0,0,"17","32","198","3",8,"0","0","0","0","0","0","0","0","0"
500,1904,6500,51,16442,0,0,0,0,0,0,0,0,0,"45","97","151","2",0,"0","0","0","0","0","0","0","0","0"
2000,2653,6800,95,0,0,0,0,0,0,0,0,0,0,"16","33","42","1",0,"0","0","0","0","0","0","0","0","0"
2000,2142,7200,35,924460,0,0,0,0,0,0,0,0,0,"16","31","40","11",0,"0","0","0","2","0","0","0","0","0"
2000,1640,5100,50,25777,0,0,0,0,0,0,0,0,0,"28","123","197","2",0,"0","0","0","0","0","0","0","0","0"
3000,2313,4500,60,561128,0,0,0,0,0,0,0,0,0,"45","220","359","2",0,"0","0","0","0","0","0","0","0","0"
500,3262,5800,72,118199,50,8,17,50,50,34,4,34,34,"12","208","965","2",0,"0","0","0","0","0","0","1","0","0"
500,2639,7000,67,70234,0,0,0,0,0,0,0,0,0,"53","51","497","2",0,"0","0","0","0","0","0","0","0","0"
3000,2331,5600,99,635484,0,0,0,0,0,0,0,0,0,"28","156","245","1",4,"0","0","0","0","0","0","0","0","0"
500,3220,4700,11,98168,0,0,0,0,0,0,0,0,0,"28","140","222","1",0,"0","0","0","0","0","0","0","0","0"
500,2100,7900,65,48840,0,0,0,0,0,0,0,0,0,"20","150","236","2",0,"0","0","0","0","0","0","0","0","0"
3000,2856,9200,132,725087,0,0,0,0,0,0,0,0,0,"7","55","81","3",0,"0","0","0","2","0","0","1","0","0"
500,3234,4900,51,0,40,6,15,40,40,13,1,13,13,"42","580","1075","2",0,"0","0","0","0","0","0","0","0","0"
2000,2415,8300,76,1238684,0,0,0,0,0,0,0,0,0,"17","30","39","3",0,"0","0","0","0","0","0","0","0","0"
2000,1780,7600,45,820707,0,0,0,0,0,0,0,0,0,"16","31","40","4",0,"0","0","0","0","0","0","0","0","0"
500,2835,5900,58,7701,0,0,0,0,0,0,0,0,0,"27","414","729","1",0,"0","0","0","0","0","0","0","0","0"
500,2254,6700,33,779723,0,0,0,0,0,0,0,0,0,"3","5","5","3",0,"0","0","0","0","0","0","0","0","0"
2000,2677,7500,125,518565,0,0,0,0,0,0,0,0,0,"5","11","20","1",0,"0","0","0","0","0","0","0","0","0"
500,2239,6400,70,11971,0,0,0,0,0,0,0,0,0,"18","32","350","3",0,"0","0","0","0","0","0","0","0","0"
2000,3332,8500,111,326799,55,23,11,55,55,43,21,43,43,"13","23","733","2",0,"0","2","0","0","0","0","1","0","0"
500,2001,6900,59,598947,0,0,0,0,0,0,0,0,0,"16","155","244","4",0,"0","0","0","0","0","0","0","0","0"
500,2240,7200,64,151404,0,0,0,0,0,0,0,0,0,"45","20","346","1",0,"0","0","0","0","0","0","0","0","0"
500,3374,7500,82,367178,26,9,10,26,26,15,5,15,15,"53","607","1127","2",0,"0","0","0","0","0","0","0","0","0"
2000,2848,8000,92,664717,0,0,0,0,0,0,0,0,0,"53","51","179","2",0,"0","0","0","0","0","0","0","0","0"
500,2975,6400,60,67691,0,0,0,0,0,0,0,0,0,"102","393","676","1",0,"0","0","0","0","0","0","0","0","0"
2000,2504,7700,49,910668,0,0,0,0,0,0,0,0,0,"53","51","179","2",0,"0","0","0","2","0","0","1","0","0"
500,2457,3700,7,128209,0,0,0,0,0,0,0,0,0,"4","194","382","2",0,"0","0","0","0","0","0","0","0","0"
500,2527,7100,34,0,0,0,0,0,0,0,0,0,0,"42","180","285","2",0,"0","0","0","0","0","0","0","0","0"
2000,2107,8200,66,18034,0,0,0,0,0,0,0,0,0,"17","32","48","3",0,"0","0","0","0","0","0","0","0","0"
2000,1778,4600,60,631652,0,0,0,0,0,0,0,0,0,"45","100","156","4",0,"0","0","0","2","0","0","0","0","0"
2000,2751,7900,36,483256,0,0,0,0,0,0,0,0,0,"17","30","51","3",0,"0","0","0","0","0","0","0","0","0"
500,2863,7500,60,242444,6,0,2,6,6,1,0,1,1,"60","38","664","4",0,"0","0","0","0","0","0","0","0","0"
2000,2499,6700,104,335300,0,0,0,0,0,0,0,0,0,"5","8","402","2",0,"0","0","0","2","0","0","1","0","0"
500,2835,5800,59,7701,0,0,0,0,0,0,0,0,0,"27","414","729","1",0,"0","0","0","0","0","0","0","0","0"
2000,2504,7800,68,910668,0,0,0,0,0,0,0,0,0,"53","51","179","2",0,"0","0","0","0","0","0","0","0","0"
500,2856,8000,89,860321,0,0,0,0,0,0,0,0,0,"9","16","108","2",0,"0","0","0","2","0","0","1","0","0"
500,2499,8700,85,28164,0,0,0,0,0,0,0,0,0,"45","276","450","2",0,"0","0","0","2","0","0","0","0","0"
2000,1652,7800,138,373658,0,0,0,0,0,0,0,0,0,"2","2","2","1",8,"0","0","0","0","0","0","1","0","0"
2000,2254,7400,72,622980,0,0,0,0,0,0,0,0,0,"16","128","205","7",0,"0","0","0","2","0","0","0","0","0"
500,2849,5900,8,934,0,0,0,0,0,0,0,0,0,"8","467","864","3",0,"0","0","0","0","0","0","0","0","0"
3000,3243,4700,11,224077,88,8,63,88,88,7,1,7,7,"59","357","1166","3",0,"0","0","0","0","0","0","0","0","0"
2000,1420,7900,118,1073298,0,0,0,0,0,0,0,0,0,"28","116","185","2",0,"0","0","0","0","0","0","0","0","0"
2000,2863,8600,115,1348716,0,0,0,0,0,0,0,0,0,"16","165","566","1",0,"2","0","0","0","0","0","1","0","0"
500,1883,5300,39,73152,0,0,0,0,0,0,0,0,0,"26","48","67","2",0,"0","0","0","0","0","0","0","0","0"
5000,2947,9500,166,1784743,0,0,0,0,0,0,0,0,0,"16","165","259","1",0,"0","0","0","0","0","0","1","0","0"
500,2485,6100,12,166048,0,0,0,0,0,0,0,0,0,"12","255","409","3",0,"0","0","0","0","0","0","0","0","0"
500,3192,6500,3,194305,5,1,2,5,5,2,1,2,2,"5","6","17","3",0,"0","0","0","0","0","0","0","0","0"
500,2583,6600,100,388256,0,0,0,0,0,0,0,0,0,"87","16","437","1",0,"0","0","0","0","0","0","0","0","0"
500,2772,4400,84,108948,0,0,0,0,0,0,0,0,0,"16","251","672","2",0,"0","0","0","0","0","0","0","0","0"
500,2639,6600,47,0,0,0,0,0,0,0,0,0,0,"5","131","492","4",0,"0","0","0","0","0","0","0","0","0"
5000,2982,8800,104,1247336,0,0,0,0,0,0,0,0,0,"16","35","367","1",0,"0","0","0","2","0","0","1","0","0"
500,2695,7000,87,37215,0,0,0,0,0,0,0,0,0,"13","278","460","1",0,"0","0","0","0","0","0","0","0","0"
2000,3101,7900,62,940341,34,10,8,34,34,20,8,20,20,"60","38","763","4",0,"0","0","0","0","0","0","1","0","0"
2000,1953,8100,67,40535,0,0,0,0,0,0,0,0,0,"16","34","47","2",0,"0","0","0","0","0","0","0","0","0"
500,2519,6100,79,631407,0,0,0,0,0,0,0,0,0,"45","100","156","4",0,"0","0","0","2","0","0","0","0","0"
3000,2614,9000,185,744808,0,0,0,0,0,0,0,0,0,"42","274","444","1",0,"0","0","0","2","0","0","1","0","0"
2000,2051,8100,55,1503860,0,0,0,0,0,0,0,0,0,"17","30","39","3",0,"0","0","0","0","0","0","0","0","0"
500,2086,5400,36,37394,0,0,0,0,0,0,0,0,0,"26","48","312","2",0,"0","0","0","0","0","0","0","0","0"
5000,2877,8800,126,649910,0,0,0,0,0,0,0,0,0,"16","153","410","1",8,"0","0","0","0","0","0","0","0","0"
2000,2029,5900,30,220062,0,0,0,0,0,0,0,0,0,"17","30","266","3",0,"0","0","0","0","0","0","0","0","0"
500,2582,4800,11,75453,0,0,0,0,0,0,0,0,0,"3","362","618","3",0,"0","0","0","0","0","0","0","0","0"
2000,2653,6700,117,0,0,0,0,0,0,0,0,0,0,"16","33","42","1",0,"0","0","0","2","0","0","0","0","0"
2000,2891,7500,58,360652,8,2,2,8,8,4,2,4,4,"53","107","264","3",0,"0","0","0","0","0","0","0","0","0"
21000,3059,9400,142,2363963,0,0,0,0,0,0,0,0,0,"41","75","646","17",0,"0","0","0","2","1","0","1","0","0"
500,2275,6500,54,94125,0,0,0,0,0,0,0,0,0,"45","218","356","1",0,"0","0","0","0","0","0","0","0","0"
500,2366,7400,46,228284,0,0,0,0,0,0,0,0,0,"3","226","8","3",0,"0","0","0","0","0","0","0","0","0"
2000,2597,4900,59,12871,0,0,0,0,0,0,0,0,0,"61","279","456","1",0,"0","0","0","0","0","0","0","0","0"
2000,2067,5400,91,214370,0,0,0,0,0,0,0,0,0,"42","161","254","2",0,"0","0","0","0","0","0","0","0","0"
500,2436,3500,5,22501,0,0,0,0,0,0,0,0,0,"4","6","386","3",0,"0","0","0","0","0","0","0","0","0"
2000,1610,8200,89,397585,0,0,0,0,0,0,0,0,0,"19","39","55","1",0,"0","0","0","0","0","0","0","0","0"
2000,2506,7900,97,352519,0,0,0,0,0,0,0,0,0,"7","57","541","4",0,"0","0","0","2","0","0","0","0","0"
500,3325,5900,44,373752,42,1,23,42,42,22,0,22,22,"9","16","1350","3",0,"0","0","0","0","0","0","0","0","0"
500,2347,8600,84,114820,0,0,0,0,0,0,0,0,0,"56","142","374","3",12,"0","0","0","2","0","0","0","0","0"
500,3150,6100,92,305595,26,9,12,26,26,22,8,22,22,"19","39","252","1",0,"0","0","0","0","0","0","0","0","0"
500,3220,6100,5,227165,13,1,8,13,13,2,0,2,2,"5","9","382","2",0,"0","0","0","0","0","0","0","0","0"
3000,2051,8300,77,1503860,0,0,0,0,0,0,0,0,0,"17","30","39","3",0,"0","0","0","0","0","0","0","0","0"
500,2639,6400,100,0,0,0,0,0,0,0,0,0,0,"31","299","496","2",0,"0","0","0","0","0","0","0","0","0"
6000,3178,9000,136,2180621,0,0,0,0,0,0,0,0,0,"7","154","243","17",16,"0","0","0","0","0","0","1","0","0"
500,2508,7900,106,538747,0,0,0,0,0,0,0,0,0,"16","35","448","2",0,"0","0","0","2","0","0","0","0","0"
2000,3038,9100,80,262738,15,3,4,15,15,7,2,7,7,"13","23","32","2",0,"0","2","0","0","0","0","0","0","0"
500,2492,8200,87,1815872,0,0,0,0,0,0,0,0,0,"42","78","128","2",0,"0","0","0","2","0","0","0","0","0"
500,2001,6800,50,598947,0,0,0,0,0,0,0,0,0,"16","155","244","4",0,"0","0","0","0","0","0","0","0","0"
500,2863,7700,57,1153618,38,0,17,38,38,14,0,14,14,"5","10","860","4",0,"0","0","0","0","0","0","0","0","0"
500,3038,7100,7,0,1,1,0,1,1,1,1,1,1,"82","270","854","2",0,"0","0","0","0","0","0","1","0","0"
500,2716,6900,52,25475,0,0,0,0,0,0,0,0,0,"45","88","158","3",0,"0","0","0","0","0","0","0","0","0"
500,2065,5700,50,77366,0,0,0,0,0,0,0,0,0,"9","143","226","2",0,"0","0","0","0","0","0","0","0","0"
500,2715,8100,72,394304,0,0,0,0,0,0,0,0,0,"17","30","44","3",0,"0","0","0","0","0","0","0","0","0"
500,2107,7600,57,135646,0,0,0,0,0,0,0,0,0,"45","179","282","9",0,"0","0","0","0","0","0","0","0","0"
2000,3243,3500,6,47904,42,2,37,42,42,5,0,5,5,"60","391","1193","3",0,"0","0","0","0","0","0","0","0","0"
500,2884,6000,7,0,1,0,0,1,1,1,0,1,1,"27","46","677","2",0,"0","0","0","0","0","0","0","0","0"
500,2268,8100,53,603869,0,0,0,0,0,0,0,0,0,"45","98","153","1",0,"0","0","0","0","0","0","0","0","0"
2000,3229,6800,13,685970,48,2,30,48,48,5,0,5,5,"53","46","1134","3",0,"0","0","0","0","0","0","0","0","0"
5000,1421,8800,141,873287,0,0,0,0,0,0,0,0,0,"7","20","87","4",8,"0","0","0","2","0","0","0","0","0"
500,3248,7500,66,312,0,0,0,0,0,0,0,0,0,"9","96","891","2",0,"0","0","0","0","0","0","0","0","0"
500,2877,5500,16,64356,2,0,0,2,2,2,0,2,2,"60","304","281","2",0,"0","0","0","0","0","0","0","0","0"
2000,3213,7500,59,0,23,7,7,23,23,6,2,6,6,"176","264","422","12",0,"0","0","0","2","0","0","0","0","0"
500,2107,4000,18,114640,0,0,0,0,0,0,0,0,0,"60","162","256","4",0,"0","0","0","0","0","0","0","0","0"
500,1722,6000,18,299523,0,0,0,0,0,0,0,0,0,"28","114","196","4",0,"0","0","0","0","0","0","0","0","0"
2000,1646,7900,81,123327,0,0,0,0,0,0,0,0,0,"16","34","43","2",0,"0","0","0","2","0","0","0","0","0"
500,2429,7800,70,381,0,0,0,0,0,0,0,0,0,"84","267","428","2",0,"0","0","0","0","0","0","0","0","0"
2000,2940,5900,94,317271,6,2,2,6,6,4,2,4,4,"13","335","564","2",0,"0","0","0","0","0","0","0","0","0"
5000,1539,9300,156,922361,0,0,0,0,0,0,0,0,0,"1","1","1","1",0,"0","0","0","0","1","0","1","0","0"
500,2142,5100,30,308925,0,0,0,0,0,0,0,0,0,"28","132","212","1",0,"0","0","0","0","0","0","0","0","0"
500,2863,5300,4,0,0,0,0,0,0,0,0,0,0,"5","9","890","2",0,"0","0","0","0","0","0","0","0","0"
500,2499,5000,8,180029,0,0,0,0,0,0,0,0,0,"4","9","481","2",0,"0","0","0","0","0","0","0","0","0"
2000,1596,5400,83,540020,0,0,0,0,0,0,0,0,0,"5","14","20","2",0,"0","0","0","0","0","0","0","0","0"
500,2968,7500,49,0,1,1,0,1,1,0,0,0,0,"144","449","833","2",0,"0","0","0","0","0","0","0","0","0"
500,2450,6400,34,19555,0,0,0,0,0,0,0,0,0,"28","97","151","2",0,"0","0","0","0","0","0","0","0","0"
500,1981,7000,50,87643,0,0,0,0,0,0,0,0,0,"28","136","218","1",16,"0","0","0","0","0","0","0","0","0"
2000,3229,4800,67,315645,46,1,36,46,46,7,1,7,7,"45","100","1122","3",0,"0","0","0","0","0","0","0","0","0"
3000,3367,7500,61,257699,37,13,4,37,37,27,10,27,27,"29","38","79","4",0,"0","0","0","0","0","0","0","0","0"
500,2807,0,2,0,0,0,0,0,0,0,0,0,0,"5","194","760","2",0,"0","0","0","0","0","0","0","0","0"
6000,2471,8300,49,411958,0,0,0,0,0,0,0,0,0,"3","4","6","3",0,"0","0","0","2","0","0","0","0","0"
500,2613,5200,68,0,0,0,0,0,0,0,0,0,0,"105","329","549","2",0,"0","0","2","0","0","0","0","0","0"
500,3101,7600,39,0,2,1,1,2,2,1,1,1,1,"82","454","841","12",0,"0","0","0","0","0","0","1","0","0"
500,2849,7000,30,22522,0,0,0,0,0,0,0,0,0,"7","277","451","2",0,"0","0","0","0","0","0","0","0","0"
500,2347,8600,56,114820,0,0,0,0,0,0,0,0,0,"56","142","374","3",0,"0","0","0","2","0","0","0","0","0"
3000,2371,7000,61,513190,0,0,0,0,0,0,0,0,0,"5","10","123","2",0,"0","0","0","0","0","0","0","0","0"
2000,2107,8100,49,18034,0,0,0,0,0,0,0,0,0,"17","32","48","9",0,"0","0","0","2","0","0","0","0","0"
