"Outcome_M3","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_3","Cat_4","Quan_16","Quan_18","Cat_210","Cat_216","Cat_349","Quant_24","Quant_25","Cat_467","Cat_469","Cat_470","Cat_494","Cat_498","Quan_27","Day_Of_Year_1"
2000,3416,6800,115,309164,42,18,5,42,42,35,17,35,35,423,753,16,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,311.375
500,3542,6100,57,10916,3,1,0,3,3,3,1,3,3,348,590,6,11.0857142857143,0,0,0,8,55.7813504823151,0,0,0,0,0,0,72.125
500,3388,6400,13,1759054,50,11,11,50,50,25,7,25,25,114,1138,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,283.375
2000,3556,4700,70,14073,12,3,4,12,12,9,3,9,9,234,20,9.45927601809955,11.0857142857143,0,0,0,3,55.7813504823151,0,0,0,0,0,0,86.125
2000,3409,7700,101,5935,39,4,6,39,39,10,3,10,10,78,128,16,11.0857142857143,0,0,0,33,66,0,2,0,0,0,0,304.375
500,3444,7200,108,81138,28,12,3,28,28,21,11,21,21,109,582,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,339.375
3000,3612,7200,30,469247,14,6,2,14,14,13,6,13,13,51,497,12,11.0857142857143,0,0,0,63,63,1,0,0,0,0,0,142.125
500,3479,4600,38,6661,9,3,0,9,9,6,2,6,6,243,244,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,9.125
2000,3584,7500,54,18582,3,0,0,3,3,2,0,2,2,742,1542,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,114.125
500,3430,3000,7,23286,2,2,0,2,2,2,2,2,2,403,371,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,325.375
2000,3451,5100,86,382119,66,32,9,66,66,42,21,42,42,254,535,8,11.0857142857143,0,0,2,53.1466275659824,55.7813504823151,1,0,0,1,0,0,346.375
27000,3598,8700,44,4692569,143,68,7,143,143,100,45,100,100,551,11,18,18,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,1,0,128.125
500,3444,6000,12,216245,11,3,3,11,11,8,3,8,8,251,1230,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,339.375
2000,3479,4400,42,6661,12,3,1,12,12,6,2,6,6,243,244,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,9.125
23000,3556,9000,64,233160,27,14,6,27,27,19,13,19,19,32,48,22,11.0857142857143,2,2,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,86.125
5000,3444,8300,125,58238,196,24,123,196,196,171,14,171,171,323,536,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,339.375
500,3388,6200,20,8229,2,1,0,2,2,2,1,2,2,21,1470,9.45927601809955,11.0857142857143,0,0,0,4,4,0,0,0,0,0,0,283.375
2000,3458,7500,97,132449,36,19,5,36,36,21,11,21,21,236,193,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,353.375
6000,3535,7200,75,225894,36,13,3,36,36,21,11,21,21,136,533,4,11.0857142857143,0,0,0,4,4,1,0,0,0,0,0,65.125
500,3612,7800,23,440417.6367713,2,1,0,2,2,2,1,2,2,300,644,2,11.0857142857143,0,0,0,33,33,1,0,0,1,0,0,142.125
500,3444,7200,92,81138,27,11,4,27,27,20,10,20,20,109,582,4,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,0,0,0,339.375
66000,3584,8500,41,1480378,101,58,8,101,101,57,35,57,57,35,46,24,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,114.125
3000,3563,5800,61,18465,16,8,2,16,16,12,6,12,12,131,18,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,93.125
3000,3570,7100,63,65248,2,2,0,2,2,2,2,2,2,362,30,2,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,100.125
500,3612,7100,73,440417.6367713,2,1,0,2,2,2,1,2,2,300,644,2,11.0857142857143,0,0,0,33,33,1,0,0,0,0,0,142.125
2000,3451,7000,89,6532,11,5,0,11,11,6,4,6,6,399,693,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,346.375
11000,3481,8300,37,171279,131,28,79,131,131,103,22,103,103,30,51,2,11.0857142857143,2,2,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,11.125
NA,3682,6987.22826086957,62.2247644683715,275,17,10,1,17,17,17,10,17,17,67,432,6,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,1,0,212.125
108000,3584,8400,64,1480378,95,50,10,95,95,56,29,56,56,35,46,24,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,114.125
3000,3430,8700,114,28006,11,3,3,11,11,9,3,9,9,142,225,8,8,0,0,0,43,43,1,0,0,1,0,0,325.375
500,3472,6800,58,15055,2,1,0,2,2,1,0,1,1,329,34,6,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,2.125
500,3451,5200,9,2,3,0,0,3,3,1,0,1,1,270,854,9.45927601809955,11.0857142857143,0,0,0,15,55.7813504823151,1,0,0,1,0,0,346.375
15000,3395,8600,85,243024,91,36,21,91,91,66,33,66,66,185,104,8,11.0857142857143,0,0,0,27,27,1,0,0,1,1,0,290.375
500,3528,5200,81,670,1,0,0,1,1,1,0,1,1,541,1008,12,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,58.125
2000,3493,8100,56,1602,12,5,0,12,12,4,2,4,4,714,1483,9.45927601809955,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,1,0,0,1,0,0,23.125
500,3472,6500,45,15055,4,1,0,4,4,1,0,1,1,329,34,6,11.0857142857143,0,0,0,53.1466275659824,55.7813504823151,0,0,0,0,0,0,2.125
6000,3451,4500,6,144409,13,0,7,13,13,4,0,4,4,499,1491,9.45927601809955,11.0857142857143,0,0,0,12,12,0,0,0,0,0,0,346.375
