"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
3000,3451,5100,86,382119,66,32,9,66,66,42,21,42,42,2,254,535,11.0857142857143,0,0,0,0,2,0,1,0,1,0,0,1,0,346.375
NA,3598,8700,44,4692569,143,68,7,143,143,100,45,100,100,5,551,11,18,0,0,0,0,0,0,1,0,1,0,0,1,0,128.125
2000,3444,6000,12,216245,11,3,3,11,11,8,3,8,8,60,251,1230,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
500,3479,4400,42,6661,12,3,1,12,12,6,2,6,6,16,243,244,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
NA,3556,9000,64,233160,27,14,6,27,27,19,13,19,19,17,32,48,11.0857142857143,2,2,2,0,0,0,0,0,1,0,0,0,0,86.125
8000,3444,8300,125,58238,196,24,123,196,196,171,14,171,171,42,323,536,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,339.375
500,3388,6200,20,8229,2,1,0,2,2,2,1,2,2,53,21,1470,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,283.375
2000,3458,7500,97,132449,36,19,5,36,36,21,11,21,21,60,236,193,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,353.375
NA,3535,7200,75,225894,36,13,3,36,36,21,11,21,21,102,136,533,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,65.125
NA,3612,7800,23,440417.6367713,2,1,0,2,2,2,1,2,2,58,300,644,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,142.125
2000,3444,7200,92,81138,27,11,4,27,27,20,10,20,20,53,109,582,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,339.375
NA,3584,8500,41,1480378,101,58,8,101,101,57,35,57,57,16,35,46,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,114.125
NA,3563,5800,61,18465,16,8,2,16,16,12,6,12,12,5,131,18,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,93.125
NA,3570,7100,63,65248,2,2,0,2,2,2,2,2,2,13,362,30,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
NA,3612,7100,73,440417.6367713,2,1,0,2,2,2,1,2,2,58,300,644,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
2000,3451,7000,89,6532,11,5,0,11,11,6,4,6,6,16,399,693,11.0857142857143,0,0,0,0,0,2,1,0,0,0,0,0,0,346.375
3000,3481,8300,37,171279,131,28,79,131,131,103,22,103,103,17,30,51,11.0857142857143,2,2,2,0,0,0,1,0,0,0,0,0,0,11.125
NA,3682,6987.22826086957,62.2247644683715,275,17,10,1,17,17,17,10,17,17,9,67,432,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,212.125
NA,3584,8400,64,1480378,95,50,10,95,95,56,29,56,56,16,35,46,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,114.125
3000,3430,8700,114,28006,11,3,3,11,11,9,3,9,9,56,142,225,8,0,0,0,0,0,0,1,0,1,0,0,1,0,325.375
500,3472,6800,58,15055,2,1,0,2,2,1,0,1,1,15,329,34,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,2.125
500,3451,5200,9,2,3,0,0,3,3,1,0,1,1,82,270,854,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,346.375
2000,3395,8600,85,243024,91,36,21,91,91,66,33,66,66,60,185,104,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,290.375
500,3528,5200,81,670,1,0,0,1,1,1,0,1,1,56,541,1008,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,58.125
500,3493,8100,56,1602,12,5,0,12,12,4,2,4,4,152,714,1483,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,23.125
500,3472,6500,45,15055,4,1,0,4,4,1,0,1,1,15,329,34,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,2.125
13000,3451,4500,6,144409,13,0,7,13,13,4,0,4,4,5,499,1491,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
