"Outcome_M6","Quan_2","Quan_3","Quan_4","Quan_5","Quan_8","Quan_9","Quan_10","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Cat_6","Quan_16","Quan_17","Quan_18","Cat_210","Cat_216","Cat_400","Cat_403","Cat_466","Cat_467","Cat_469","Cat_470","Cat_498","Quan_27","Day_Of_Year_1"
500,5500,53,396297,0,0,0,0,0,0,"5","126","200","11",2,2,0,"0","0","1","0","0","0","0","0","0",0,316.375
2000,8700,182,4741,0,0,0,0,0,0,"42","341","585","46",0,0,0,"0","0","1","1","0","1","2","0","0",0,235.625
2000,4200,19,631652,0,0,0,0,0,0,"45","100","156","20",0,2,0,"0","0","1","0","0","0","0","0","0",0,211.375
500,5500,36,564834,0,0,0,0,0,0,"45","225","369","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,338.125
3000,9300,144,1650772,0,0,0,0,0,0,"27","223","364","27",0,0,0,"0","0","0","0","0","1","2","0","0",0,345.125
2000,7500,46,245463,0,0,0,0,0,0,"3","362","213","5",4,4,0,"2","2","0","0","0","0","0","0","0",0,4.625
500,3500,8,91161,0,0,0,0,0,0,"4","9","12","2",12,0,0,"0","0","0","0","0","0","0","0","0",0,231.125
5000,7500,65,1969756,80,80,80,24,24,24,"7","192","1117","34",0,4,0,"0","0","1","1","0","1","0","0","0",2,124.375
500,5500,11,153980,0,0,0,0,0,0,"53","129","207","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,139.125
500,6200,16,164171,0,0,0,0,0,0,"28","114","187","3",0,4,0,"0","0","1","0","0","0","0","0","0",0,330.375
500,6300,22,230598,0,0,0,0,0,0,"42","77","150","4",2,4,0,"0","2","0","0","0","0","0","0","0",0,96.875
500,6000,37,23149,0,0,0,0,0,0,"26","48","66","10",0,2,0,"0","0","1","0","0","0","0","0","0",0,358.875
2000,6900,96,549715,0,0,0,0,0,0,"72","208","340","2",16,0,0,"0","0","1","0","0","0","0","0","0",0,217.125
2000,8000,33,691706,0,0,0,0,0,0,"3","4","6","4",10,4,0,"2","2","0","0","0","0","0","0","0",0,133.375
500,5500,40,51652,0,0,0,0,0,0,"61","167","263","15",16,4,16,"0","0","1","0","0","0","0","0","0",0,344.375
2000,0,2,131448,0,0,0,0,0,0,"5","6","10","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,88.625
500,5000,52,49935,0,0,0,0,0,0,"5","9","287","2",12,0,12,"0","0","0","0","0","0","0","0","0",0,134.125
500,0,0,194305,3,3,3,2,2,2,"5","6","17","12",0,2,0,"0","2","0","0","0","0","0","0","0",0,87.375
500,5800,69,57822,0,0,0,0,0,0,"49","251","708","14",8,0,0,"0","0","1","0","0","0","0","0","0",0,87.375
16000,8600,107,4365238,155,155,155,68,68,68,"5","8","11","2",18,4,0,"0","0","1","0","0","1","0","0","1",0,129.375
2000,8900,129,1201564,0,0,0,0,0,0,"42","85","308","20",0,0,0,"0","0","1","0","0","0","2","0","0",0,139.125
500,5900,59,95291,0,0,0,0,0,0,"26","48","66","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,231.125
500,6500,38,2048,3,3,3,0,0,0,"151","468","1214","41",0,0,0,"0","0","1","0","0","0","0","0","0",0,255.375
2000,4400,51,367328,0,0,0,0,0,0,"29","198","714","10",0,2,0,"0","0","1","0","0","0","0","0","0",0,95.625
3000,8900,102,1529105,121,121,121,61,61,61,"28","114","206","27",8,0,0,"0","0","1","0","0","1","2","0","0",0,136.375
500,6000,19,97941,0,0,0,0,0,0,"12","27","453","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,138.875
16000,8400,38,359080,48,48,48,32,32,32,"17","30","51","22",2,4,0,"2","2","1","0","0","0","0","0","0",0,10.375
5000,7400,40,788296,0,0,0,0,0,0,"17","32","49","4",8,4,0,"2","2","0","0","0","0","2","0","0",0,91.125
5000,8800,149,483316,0,0,0,0,0,0,"7","207","337","1",0,2,0,"0","0","1","1","0","1","2","0","0",0,110.875
2000,7600,55,0,33,33,33,11,11,11,"16","578","1072","34",0,0,0,"0","0","1","0","0","0","0","0","0",0,115.375
500,7600,62,720532,0,0,0,0,0,0,"5","10","19","11",0,2,0,"0","0","0","0","0","0","0","0","0",0,131.375
500,6100,92,20071,5,5,5,3,3,3,"9","389","661","11",0,0,0,"0","0","1","0","0","0","0","0","0",0,298.625
500,6000,56,193041,0,0,0,0,0,0,"56","257","411","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,166.875
500,4400,11,89480,0,0,0,0,0,0,"4","166","262","17",0,4,0,"0","0","0","0","0","0","0","0","0",0,133.125
500,5400,67,43805,0,0,0,0,0,0,"7","209","342","1",4,0,0,"0","0","1","0","0","0","0","0","0",0,189.125
2000,5200,45,462746,0,0,0,0,0,0,"53","176","370","11",0,4,0,"0","0","0","0","0","0","0","0","0",0,357.125
500,8200,80,280808,0,0,0,0,0,0,"52","106","267","10",2,0,0,"0","0","1","0","0","1","0","0","0",0,88.625
2000,8200,112,447992,0,0,0,0,0,0,"19","40","56","11",0,0,0,"0","0","1","0","0","1","0","0","0",0,263.625
500,6600,72,245264,0,0,0,0,0,0,"49","105","454","41",0,0,0,"0","0","1","0","0","0","0","0","0",0,140.875
2000,6900,91,94125,0,0,0,0,0,0,"45","218","356","10",0,0,0,"0","0","1","0","0","0","0","0","0",0,266.125
500,7500,69,557725,0,0,0,0,0,0,"19","41","57","11",0,0,0,"0","0","0","0","0","1","0","0","0",0,138.875
3000,8000,87,1168518,0,0,0,0,0,0,"28","114","206","27",0,0,0,"0","0","0","0","0","1","2","0","1",0,133.125
3000,7900,118,457014,62,62,62,27,27,27,"7","207","337","1",2,2,0,"0","0","1","1","0","1","0","0","0",0,115.375
500,7200,95,664806,0,0,0,0,0,0,"47","232","378","11",0,0,0,"0","0","0","0","0","1","0","0","0",0,336.125
3000,8600,77,1348716,0,0,0,0,0,0,"16","165","566","1",0,0,0,"0","0","1","1","0","1","0","0","1",1,123.625
500,5500,88,2477,0,0,0,0,0,0,"8","122","195","2",0,0,0,"0","0","1","0","0","0","0","0","0",0,239.375
500,7600,76,101055,0,0,0,0,0,0,"56","171","270","10",2,0,2,"0","0","1","1","0","0","0","0","0",0,358.375
3000,8300,111,931417,107,107,107,41,41,41,"42","89","139","13",16,2,0,"0","0","1","0","0","1","2","0","1",0,144.375
2000,7700,104,466603,0,0,0,0,0,0,"60","98","193","2",16,0,16,"0","0","1","1","0","0","0","0","0",0,222.875
5000,9000,133,823479,0,0,0,0,0,0,"28","117","188","42",16,4,16,"0","0","1","1","0","1","2","0","0",0,249.625
500,6600,46,670326,0,0,0,0,0,0,"53","107","264","13",8,2,0,"0","0","0","0","0","0","0","0","0",0,168.125
6000,8500,115,467424,0,0,0,0,0,0,"17","29","38","21",2,2,0,"2","0","1","0","0","0","0","0","0",0,232.625
10000,9200,137,1329383,0,0,0,0,0,0,"1","1","385","1",0,0,0,"0","0","1","1","0","1","2","1","0",10,117.875
6000,9500,149,1005204,0,0,0,0,0,0,"2","133","214","2",0,0,0,"0","0","1","0","0","1","2","0","0",0,49.125
2000,9100,61,518273,36,36,36,13,13,13,"63","73","279","50",14,7,0,"0","0","1","0","0","0","0","0","0",0,115.375
500,6200,47,844248,0,0,0,0,0,0,"28","114","420","11",16,0,0,"0","0","1","0","0","1","0","0","0",0,126.875
3000,8700,151,834327,0,0,0,0,0,0,"2","282","214","2",10,0,0,"0","0","1","1","0","1","0","0","1",0,221.625
500,5300,28,30366,0,0,0,0,0,0,"28","115","184","13",2,2,0,"0","0","0","0","0","0","0","0","0",0,85.375
500,7300,47,5650,0,0,0,0,0,0,"56","171","270","10",2,2,0,"0","0","0","0","0","0","0","0","0",0,357.125
500,5900,18,283838,10,10,10,2,2,2,"16","578","1081","14",10,2,0,"0","0","0","0","0","0","0","0","0",0,87.375
500,6100,56,193707,0,0,0,0,0,0,"47","139","135","20",0,2,0,"0","0","0","0","0","0","0","0","0",0,96.875
2000,5600,43,0,13,13,13,2,2,2,"9","408","715","18",8,2,0,"0","0","0","0","0","1","2","0","0",0,122.375
2000,5900,44,181085,0,0,0,0,0,0,"9","408","715","18",8,2,0,"0","0","0","0","0","1","0","0","0",0,130.625
500,8200,71,739705,0,0,0,0,0,0,"42","180","285","52",0,8,0,"0","0","1","0","0","0","0","0","0",0,322.125
2000,7400,91,65599,0,0,0,0,0,0,"3","3","3","3",0,2,0,"0","0","1","0","0","0","0","0","0",0,142.625
6000,7300,33,304225,0,0,0,0,0,0,"3","4","204","22",14,7,0,"2","2","0","0","0","0","0","0","0",0,13.125
500,6800,76,0,0,0,0,0,0,0,"5","222","362","2",16,0,16,"0","0","0","0","0","0","0","0","0",0,329.125
3000,7000,120,316575,0,0,0,0,0,0,"7","400","80","11",16,0,0,"0","0","1","0","0","0","0","0","0",0,3.375
500,8500,86,10057,25,25,25,17,17,17,"17","32","38","21",2,2,0,"2","0","0","0","0","0","0","0","0",0,241.375
500,5600,16,32760,0,0,0,0,0,0,"77","231","377","34",8,0,0,"0","0","0","0","0","0","0","0","0",0,350.125
2000,8700,92,1516735,54,54,54,29,29,29,"16","28","40","17",8,0,0,"0","0","1","0","0","1","2","0","0",0,136.375
500,4200,6,128209,0,0,0,0,0,0,"4","6","382","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,82.875
2000,8200,82,62984,0,0,0,0,0,0,"7","57","89","54",4,4,0,"0","0","1","0","0","0","2","0","0",0,61.875
2000,9300,80,0,19,19,19,6,6,6,"16","165","259","1",0,0,0,"0","0","1","1","0","0","0","0","0",0,199.375
500,0,1,86725,5,5,5,3,3,3,"5","6","1229","8",4,2,0,"0","0","0","0","0","0","0","0","0",0,73.375
500,7900,81,1106,0,0,0,0,0,0,"53","108","175","13",16,4,16,"0","0","1","0","0","0","0","0","0",0,341.625
500,6200,99,303842,0,0,0,0,0,0,"45","345","583","1",0,0,0,"0","0","1","0","0","0","0","0","0",0,333.625
2000,5600,21,384334,0,0,0,0,0,0,"53","176","277","20",0,4,0,"0","0","0","0","0","0","0","0","0",0,358.375
3000,8100,145,1003761,0,0,0,0,0,0,"7","57","86","2",32,4,16,"0","0","1","0","0","1","2","0","0",0,142.625
2000,7400,49,589158,0,0,0,0,0,0,"60","38","408","11",0,2,0,"0","0","0","0","0","1","0","0","0",0,82.875
500,8000,98,27136,0,0,0,0,0,0,"9","16","429","41",0,4,0,"0","0","1","0","0","1","0","0","0",0,54.875
3000,8500,39,2006285,0,0,0,0,0,0,"28","118","188","42",16,4,0,"0","0","0","0","0","1","0","0","0",0,49.125
500,5200,3,72774,2,2,2,2,2,2,"105","392","675","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,94.375
2000,7900,91,669770,31,31,31,21,21,21,"13","362","30","10",4,0,0,"0","0","1","0","0","1","2","0","1",0,87.375
2000,5900,66,1361,20,20,20,2,2,2,"9","16","302","55",8,2,0,"0","0","0","0","0","0","0","0","0",0,108.375
2000,7400,39,428610,7,7,7,4,4,4,"141","430","764","52",0,2,0,"0","0","1","0","0","0","0","0","0",0,94.375
2000,7600,119,478691,0,0,0,0,0,0,"42","378","641","2",256,0,0,"0","0","1","0","0","1","0","0","0",0,207.625
3000,8200,108,975913,0,0,0,0,0,0,"53","109","176","11",12,0,12,"0","0","1","1","0","1","2","0","0",0,103.875
2000,8100,59,438753,0,0,0,0,0,0,"31","56","331","2",16,2,16,"0","0","1","0","0","1","0","0","0",0,4.875
2000,7800,106,442044,0,0,0,0,0,0,"7","135","320","41",0,0,0,"0","0","1","0","0","0","0","0","0",0,224.125
500,6500,13,0,0,0,0,0,0,0,"17","30","391","22",2,0,0,"2","2","0","0","0","0","0","0","0",0,40.875
500,7000,92,517764,0,0,0,0,0,0,"47","193","303","2",16,4,16,"0","0","1","0","0","0","0","0","0",0,119.125
11000,8200,79,5417231,134,134,134,28,28,28,"63","73","1116","32",0,2,0,"0","0","1","0","0","0","0","0","0",0,124.375
500,6900,8,439801,0,0,0,0,0,0,"27","46","352","52",8,8,0,"0","0","1","0","0","0","0","0","0",0,217.125
2000,8100,135,380699,0,0,0,0,0,0,"16","206","550","10",8,0,0,"0","0","1","0","0","0","0","0","0",0,102.625
2000,8000,70,30069,0,0,0,0,0,0,"109","279","567","14",16,0,0,"0","0","1","0","0","0","0","0","0",0,67.625
2000,6300,37,1007988,0,0,0,0,0,0,"42","77","150","4",2,4,0,"0","2","0","0","0","0","0","0","0",0,133.375
2000,8500,77,503093,0,0,0,0,0,0,"12","168","398","13",16,0,0,"0","0","1","0","0","0","0","0","0",0,75.875
2000,7600,27,370537,0,0,0,0,0,0,"5","227","371","11",0,4,0,"0","0","0","0","0","0","0","0","0",0,336.125
13000,8500,125,2408730,0,0,0,0,0,0,"5","8","11","2",18,4,18,"0","0","1","0","0","1","2","0","1",0,131.875
500,6400,76,0,10,10,10,5,5,5,"5","20","1058","2",16,0,0,"0","0","0","0","0","0","0","0","0",0,122.375
3000,6700,67,335300,0,0,0,0,0,0,"5","8","402","2",12,0,0,"0","0","1","0","0","1","0","0","0",0,124.875
500,7900,58,0,0,0,0,0,0,0,"17","32","198","26",8,4,8,"0","2","0","0","0","0","0","0","0",0,321.125
500,6500,51,16442,0,0,0,0,0,0,"45","97","151","14",8,2,0,"0","0","0","0","0","0","0","0","0",0,260.375
2000,6800,95,0,0,0,0,0,0,0,"16","33","42","11",16,0,0,"0","0","1","0","0","0","0","0","0",0,278.875
2000,7200,35,924460,0,0,0,0,0,0,"16","31","40","13",8,2,0,"0","0","1","0","0","0","2","0","0",0,133.125
500,5100,50,25777,0,0,0,0,0,0,"28","123","197","14",8,2,0,"0","0","0","0","0","0","0","0","0",0,361.625
2000,4500,60,561128,0,0,0,0,0,0,"45","220","359","59",0,0,0,"0","0","1","0","0","0","0","0","0",0,304.125
500,5800,72,118199,50,50,50,34,34,34,"12","208","965","11",10,0,0,"0","0","1","0","0","1","0","0","0",0,157.375
500,7000,67,70234,0,0,0,0,0,0,"53","51","497","33",4,6,0,"0","0","0","0","0","0","0","0","0",0,264.875
2000,5600,99,635484,0,0,0,0,0,0,"28","156","245","2",16,4,4,"0","0","1","0","0","0","0","0","0",0,322.125
500,4700,11,98168,0,0,0,0,0,0,"28","140","222","46",0,0,0,"0","0","1","0","0","0","0","0","0",0,115.375
500,7900,65,48840,0,0,0,0,0,0,"20","150","236","17",8,0,0,"0","0","0","0","0","0","0","0","0",0,91.125
5000,9200,132,725087,0,0,0,0,0,0,"7","55","81","13",8,2,0,"0","0","1","0","0","1","2","0","1",0,116.625
500,4900,51,0,40,40,40,13,13,13,"42","580","1075","18",2,2,0,"0","0","1","0","0","0","0","0","0",0,129.375
10000,8300,76,1238684,0,0,0,0,0,0,"17","30","39","22",2,4,0,"2","2","1","0","2","1","0","0","0",0,40.875
2000,7600,45,820707,0,0,0,0,0,0,"16","31","40","13",8,2,0,"0","0","0","0","0","0","0","0","0",0,136.375
2000,5900,58,7701,0,0,0,0,0,0,"27","414","729","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,95.625
500,6700,33,779723,0,0,0,0,0,0,"3","5","5","5",2,2,0,"2","2","0","0","0","0","0","0","0",0,245.125
500,7500,125,518565,0,0,0,0,0,0,"5","11","20","10",0,0,0,"0","0","1","0","0","0","0","0","0",0,302.875
500,6400,70,11971,0,0,0,0,0,0,"18","32","350","26",4,4,0,"0","2","1","0","0","0","0","0","0",0,230.125
2000,8500,111,326799,55,55,55,43,43,43,"13","23","733","18",8,2,0,"2","0","1","0","0","1","0","0","1",0,227.375
500,6900,59,598947,0,0,0,0,0,0,"16","155","244","11",0,0,0,"0","0","1","0","0","1","0","0","0",0,357.375
500,7200,64,151404,0,0,0,0,0,0,"45","20","346","2",8,4,0,"0","0","0","0","0","0","0","0","0",0,231.125
500,7500,82,367178,26,26,26,15,15,15,"53","607","1127","33",4,4,0,"0","0","1","0","0","1","0","0","0",0,269.375
2000,8000,92,664717,0,0,0,0,0,0,"53","51","179","33",4,4,0,"0","0","1","0","0","0","0","0","0",0,108.625
500,6400,60,67691,0,0,0,0,0,0,"102","393","676","1",0,0,0,"0","0","0","0","0","0","0","0","0",0,235.625
2000,7700,49,910668,0,0,0,0,0,0,"53","51","179","33",4,6,0,"0","0","1","0","0","1","2","0","0",0,129.875
500,3700,7,128209,0,0,0,0,0,0,"4","194","382","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,82.875
500,7100,34,0,0,0,0,0,0,0,"42","180","285","52",0,8,0,"0","0","0","0","0","0","0","0","0",0,152.875
3000,8200,66,18034,0,0,0,0,0,0,"17","32","48","26",4,4,0,"2","2","0","0","0","0","0","0","0",0,98.125
2000,4600,60,631652,0,0,0,0,0,0,"45","100","156","20",0,2,0,"0","0","1","0","0","0","2","0","0",0,134.375
16000,7900,36,483256,0,0,0,0,0,0,"17","30","51","22",12,4,0,"2","2","1","0","0","0","0","0","0",0,11.625
500,7500,60,242444,6,6,6,1,1,1,"60","38","664","50",0,4,0,"0","0","1","0","0","0","0","0","0",0,123.625
3000,6700,104,335300,0,0,0,0,0,0,"5","8","402","2",12,0,0,"0","0","1","0","0","1","2","0","1",0,124.875
2000,5800,59,7701,0,0,0,0,0,0,"27","414","729","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,95.625
2000,7800,68,910668,0,0,0,0,0,0,"53","51","179","33",4,4,0,"0","0","1","0","0","0","0","0","0",0,129.875
2000,8000,89,860321,0,0,0,0,0,0,"9","16","108","18",2,2,0,"0","0","1","0","0","1","2","0","0",0,116.625
5000,8700,85,28164,0,0,0,0,0,0,"45","276","450","44",0,0,0,"0","0","1","0","0","0","2","0","0",0,124.875
2000,7800,138,373658,0,0,0,0,0,0,"2","2","2","2",8,0,8,"0","0","1","0","0","1","0","0","0",0,8.375
2000,7400,72,622980,0,0,0,0,0,0,"16","128","205","2",4,2,0,"0","0","1","0","0","0","2","0","0",0,245.125
500,5900,8,934,0,0,0,0,0,0,"8","467","864","22",0,4,0,"0","2","0","0","0","0","0","0","0",0,109.625
5000,4700,11,224077,88,88,88,7,7,7,"59","357","1166","80",8,4,0,"0","0","0","0","0","0","0","0","0",0,138.375
2000,7900,118,1073298,0,0,0,0,0,0,"28","116","185","11",0,0,0,"0","0","0","0","0","0","0","0","0",0,141.625
5000,8600,115,1348716,0,0,0,0,0,0,"16","165","566","1",0,0,0,"0","0","1","1","0","1","0","0","1",1,123.625
500,5300,39,73152,0,0,0,0,0,0,"26","48","67","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,239.375
5000,9500,166,1784743,0,0,0,0,0,0,"16","165","259","1",0,0,0,"0","0","1","1","0","1","0","0","1",0,207.625
500,6100,12,166048,0,0,0,0,0,0,"12","255","409","52",0,8,0,"0","0","0","0","0","0","0","0","0",0,110.875
500,6500,3,194305,5,5,5,2,2,2,"5","6","17","12",0,2,0,"0","2","0","0","0","0","0","0","0",0,87.375
2000,6600,100,388256,0,0,0,0,0,0,"87","16","437","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,208.875
500,4400,84,108948,0,0,0,0,0,0,"16","251","672","2",0,2,0,"0","0","1","0","0","0","0","0","0",0,32.625
500,6600,47,0,0,0,0,0,0,0,"5","131","492","11",0,2,0,"0","0","0","0","0","0","0","0","0",0,264.875
8000,8800,104,1247336,0,0,0,0,0,0,"16","35","367","2",24,0,0,"0","0","1","1","0","1","2","0","0",0,242.625
500,7000,87,37215,0,0,0,0,0,0,"13","278","460","20",8,0,0,"0","0","0","0","0","0","0","0","0",0,320.875
2000,7900,62,940341,34,34,34,20,20,20,"60","38","763","11",0,2,0,"0","0","0","0","0","1","0","0","0",0,361.625
2000,8100,67,40535,0,0,0,0,0,0,"16","34","47","23",4,0,0,"0","0","1","0","0","0","0","0","0",0,309.375
2000,6100,79,631407,0,0,0,0,0,0,"45","100","156","11",0,0,0,"0","0","1","0","0","0","2","0","0",0,144.875
2000,9000,185,744808,0,0,0,0,0,0,"42","274","444","2",32,0,0,"0","0","1","0","0","1","2","0","0",0,239.875
6000,8100,55,1503860,0,0,0,0,0,0,"17","30","39","22",2,4,0,"2","2","0","0","0","0","0","0","0",0,42.125
500,5400,36,37394,0,0,0,0,0,0,"26","48","312","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,77.125
3000,8800,126,649910,0,0,0,0,0,0,"16","153","410","2",8,2,8,"0","0","1","1","0","0","0","0","0",0,137.625
3000,5900,30,220062,0,0,0,0,0,0,"17","30","266","13",12,0,0,"2","0","0","0","0","0","0","0","0",0,20.125
500,4800,11,75453,0,0,0,0,0,0,"3","362","618","5",30,0,0,"2","0","0","0","0","0","0","0","0",0,207.875
2000,6700,117,0,0,0,0,0,0,0,"16","33","42","11",16,0,0,"0","0","1","0","0","0","2","0","0",0,278.875
500,7500,58,360652,8,8,8,4,4,4,"53","107","264","13",12,2,0,"0","0","1","0","0","0","0","0","0",1,151.625
3000,9400,142,2363963,0,0,0,0,0,0,"41","75","646","11",16,0,0,"2","0","1","1","0","1","2","1","0",0,319.625
500,6500,54,94125,0,0,0,0,0,0,"45","218","356","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,266.125
500,7400,46,228284,0,0,0,0,0,0,"3","226","8","7",4,2,0,"2","0","0","0","0","0","0","0","0",0,357.125
500,4900,59,12871,0,0,0,0,0,0,"61","279","456","10",0,0,0,"0","0","1","0","0","1","0","0","0",0,222.875
2000,5400,91,214370,0,0,0,0,0,0,"42","161","254","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,58.125
500,3500,5,22501,0,0,0,0,0,0,"4","6","386","12",0,0,0,"0","2","0","0","0","0","0","0","0",0,61.875
500,8200,89,397585,0,0,0,0,0,0,"19","39","55","27",0,0,0,"0","0","1","0","0","0","0","0","0",0,331.625
2000,7900,97,352519,0,0,0,0,0,0,"7","57","541","11",8,0,0,"0","0","1","0","0","0","2","0","0",0,131.875
500,5900,44,373752,42,42,42,22,22,22,"9","16","1350","65",0,4,0,"0","0","1","0","0","0","0","0","0",0,220.375
500,8600,84,114820,0,0,0,0,0,0,"56","142","374","13",12,0,12,"0","0","1","0","0","0","2","0","0",0,338.125
500,6100,92,305595,26,26,26,22,22,22,"19","39","252","2",12,2,0,"0","0","1","0","0","1","0","0","0",0,45.375
2000,6100,5,227165,13,13,13,2,2,2,"5","9","382","55",0,4,0,"0","0","0","0","0","0","0","0","0",0,115.375
10000,8300,77,1503860,0,0,0,0,0,0,"17","30","39","22",2,4,0,"2","2","1","0","2","0","0","0","0",0,42.125
500,6400,100,0,0,0,0,0,0,0,"31","299","496","11",0,0,0,"0","0","1","0","0","0","0","0","0",0,264.875
10000,9000,136,2180621,0,0,0,0,0,0,"7","154","243","2",16,4,16,"0","0","1","0","0","1","0","0","1",0,73.375
2000,7900,106,538747,0,0,0,0,0,0,"16","35","448","20",0,0,0,"0","0","1","0","0","0","2","0","0",0,133.875
2000,9100,80,262738,15,15,15,7,7,7,"13","23","32","18",8,2,0,"0","0","1","0","0","0","0","0","0",0,298.625
2000,8200,87,1815872,0,0,0,0,0,0,"42","78","128","17",12,4,0,"0","0","1","0","0","0","2","0","0",0,117.875
2000,6800,50,598947,0,0,0,0,0,0,"16","155","244","11",0,0,0,"0","0","0","0","0","1","0","0","0",0,357.375
500,7700,57,1153618,38,38,38,14,14,14,"5","10","860","50",8,4,0,"0","0","0","0","0","0","0","0","0",0,123.625
500,7100,7,0,1,1,1,1,1,1,"82","270","854","44",0,0,0,"0","0","1","0","0","1","0","0","0",0,298.625
500,6900,52,25475,0,0,0,0,0,0,"45","88","158","7",4,4,0,"0","0","0","0","0","0","0","0","0",0,341.875
500,5700,50,77366,0,0,0,0,0,0,"9","143","226","10",0,2,0,"0","0","0","0","0","0","0","0","0",0,56.125
2000,8100,72,394304,0,0,0,0,0,0,"17","30","44","24",4,4,0,"2","2","1","0","0","0","0","0","0",0,340.875
500,7600,57,135646,0,0,0,0,0,0,"45","179","282","13",6,2,0,"2","0","0","0","0","0","0","0","0",0,98.125
2000,3500,6,47904,42,42,42,5,5,5,"60","391","1193","30",0,2,0,"0","0","0","0","0","0","0","0","0",0,138.375
500,6000,7,0,1,1,1,1,1,1,"27","46","677","52",8,16,0,"0","0","1","0","0","0","0","0","0",0,144.625
2000,8100,53,603869,0,0,0,0,0,0,"45","98","153","10",8,0,0,"0","0","0","0","0","0","0","0","0",0,259.125
2000,6800,13,685970,48,48,48,5,5,5,"53","46","1134","80",4,0,0,"0","0","1","0","0","0","0","0","0",0,124.375
5000,8800,141,873287,0,0,0,0,0,0,"7","20","87","13",8,2,8,"0","0","1","0","0","0","2","0","0",0,142.625
500,7500,66,312,0,0,0,0,0,0,"9","96","891","11",0,0,0,"0","0","1","0","0","0","0","0","0",0,143.375
500,5500,16,64356,2,2,2,2,2,2,"60","304","281","51",0,4,0,"0","0","0","0","0","0","0","0","0",0,137.625
3000,7500,59,0,23,23,23,6,6,6,"176","264","422","18",2,2,0,"0","0","0","0","0","1","2","0","0",0,108.375
500,4000,18,114640,0,0,0,0,0,0,"60","162","256","20",2,4,0,"0","0","0","0","0","0","0","0","0",0,98.125
500,6000,18,299523,0,0,0,0,0,0,"28","114","196","11",0,4,0,"0","0","0","0","0","0","0","0","0",0,78.375
5000,7900,81,123327,0,0,0,0,0,0,"16","34","43","23",4,0,0,"0","0","1","1","0","0","2","0","0",0,2.375
500,7800,70,381,0,0,0,0,0,0,"84","267","428","44",0,0,0,"0","0","1","0","0","0","0","0","0",0,54.875
500,5900,94,317271,6,6,6,4,4,4,"13","335","564","2",0,0,0,"0","0","1","0","0","0","0","0","0",0,200.625
10000,9300,156,922361,0,0,0,0,0,0,"1","1","1","1",0,0,0,"0","0","1","1","0","1","0","1","1",4,260.625
500,5100,30,308925,0,0,0,0,0,0,"28","132","212","10",0,0,0,"0","0","1","0","0","0","0","0","0",0,133.125
500,5300,4,0,0,0,0,0,0,0,"5","9","890","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,123.625
500,5000,8,180029,0,0,0,0,0,0,"4","9","481","2",0,0,0,"0","0","0","0","0","0","0","0","0",0,124.875
2000,5400,83,540020,0,0,0,0,0,0,"5","14","20","10",0,0,0,"0","0","0","0","0","0","0","0","0",0,317.625
500,7500,49,0,1,1,1,0,0,0,"144","449","833","54",0,0,0,"0","0","0","0","0","0","0","0","0",0,228.625
500,6400,34,19555,0,0,0,0,0,0,"28","97","151","14",8,2,0,"0","0","0","0","0","0","0","0","0",0,75.875
2000,7000,50,87643,0,0,0,0,0,0,"28","136","218","2",16,0,16,"0","0","0","0","0","0","0","0","0",0,337.375
2000,4800,67,315645,46,46,46,7,7,7,"45","100","1122","17",4,4,0,"0","0","0","0","0","0","0","0","0",0,124.375
2000,7500,61,257699,37,37,37,27,27,27,"29","38","79","11",0,2,0,"0","0","1","0","0","0","0","0","0",0,262.375
500,0,2,0,0,0,0,0,0,0,"5","194","760","9",0,0,0,"0","0","0","0","0","0","0","0","0",0,67.625
13000,8300,49,411958,0,0,0,0,0,0,"3","4","6","4",10,4,0,"2","2","1","0","0","0","2","0","0",0,96.875
500,5200,68,0,0,0,0,0,0,0,"105","329","549","2",0,0,0,"0","0","1","0","0","0","0","0","0",0,238.875
500,7600,39,0,2,2,2,1,1,1,"82","454","841","15",2,2,0,"0","0","1","0","0","1","0","0","1",0,361.625
500,7000,30,22522,0,0,0,0,0,0,"7","277","451","52",0,4,0,"0","0","1","0","0","0","0","0","0",0,109.625
500,8600,56,114820,0,0,0,0,0,0,"56","142","374","13",12,0,0,"0","0","1","0","0","0","2","0","0",0,338.125
2000,7000,61,513190,0,0,0,0,0,0,"5","10","123","37",2,2,0,"0","0","0","0","0","0","0","0","0",0,362.125
